Date	Flow_influent_[m3/d]	Flow_to_bio_[m3/d]	Flow_out_[m3/d]	SS_influent_[mg/l]	VSS_influent_[mg/l]	COD_influent_[mg/l]	COD_influent_filtered_[mg/l]	BOD5_influent_[mg/l]	N_tot_influent_[mg/l]	NH4_N_influent_[mg/l]	P_tot_influent_[mg/l]	PO4_P_influent_[mg/l]	pH_[-]	SS_influent_to_bio_[mg/l]	VSS_influent_to_bio_[mg/l]	COD_influent_to_bio_[mg/l]	COD_influent_filtered_to_bio_[mg/l]	BOD5_influent_to_bio_[mg/l]	N_tot_influent_to_bio_[mg/l]	NH4_N_influent_to_bio_[mg/l]	P_tot_influent_to_bio_[mg/l]	PO4_P_influent_to_bio_[mg/l]	SS_Line_1_[mg/l]	VSS_Line_1_[mg/l]	COD_Line_1_[mg/l]	SV_Line_1_[ml/l]	SVI_Line_1_[ml/g]	DSV_Line_1_[ml/l]	DSVI_Line_1_[ml/g]	SS_Line_2_[mg/l]	VSS_Line_2_[mg/l]	COD_Line_2_[mg/l]	SV_Line_2_[ml/l]	SVI_Line_2_[ml/g]	DSV_Line_2_[ml/l]	DSVI_Line_2_[ml/g]	SS_Line_3_[mg/l]	VSS_Line_3_[mg/l]	COD_Line_3_[mg/l]	SV_Line_3_[ml/l]	SVI_Line_3_[ml/g]	DSV_Line_3_[ml/l]	DSVI_Line_3_[ml/g]	SS_Line_4_[mg/l]	VSS_Line_4_[mg/l]	COD_Line_4_[mg/l]	SV_Line_4_[ml/l]	SVI_Line_4_[ml/g]	DSV_Line_4_[ml/l]	DSVI_Line_4_[ml/g]	SS_RAS_1_[g/l]	SS_RAS_2_[g/l]	SS_RAS_3_[g/l]	SS_RAS_4_[g/l]	Total_SRT_Line_1_[d]	Aerobic_SRT_Line_1_[d]	Total_SRT_Line_2_[d]	Aerobic_SRT_Line_2_[d]	Total_SRT_Line_3_[d]	Aerobic_SRT_Line_3_[d]	Total_SRT_Line_4_[d]	Aerobic_SRT_Line_4_[d]	DO_Line_1_setpoint_[mg/l]	DO_Line_1_value_[mg/l]	DO_Line_2_setpoint_[mg/l]	DO_Line_2_value_[mg/l]	DO_Line_3_setpoint_[mg/l]	DO_Line_3_value_[mg/l]	DO_Line_4_setpoint_[mg/l]	DO_Line_4_value_[mg/l]	Fe_to_bio_L1_[l/h]	Fe_to_bio_L2_[l/h]	Fe_to_bio_L3_[l/h]	Fe_to_bio_L4_[l/h]	SS_out_[mg/l]	VSS_out_[mg/l]	COD_out_[mg/l]	COD_filtered_out_[mg/l]	BOD_out_[mg/l]	N_tot_out_[mg/l]	NH4_N_out_[mg/l]	NO3_N_out_[mg/l]	P_tot_out_[mg/l]	PO4_P_out_[mg/l]	Temperature_[C]	Var.87
01-01-2017	70094	79612	76904	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,06125	16,0605556	16,167222	16,167222	60,138943	44,977469	13,172323	6,052295	21,376634	7,430042	21,376634	2,757719	1,0414634	0,9524033	1,2834299	1,0619816	0,9925837	0,8790698	1,0521635	0,9316726	2,584861	2,6	2,977083	2,90652778	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
02-01-2017	57841	60387	58675	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,854583	15,8544444	15,794722	15,794722	59,401944	44,555972	11,301111	5,329167	18,469167	6,468889	18,469167	2,41375	0,9275649	0,9400245	1,1793317	0,976987	0,8384615	0,8166056	0,7395433	0,778563	19,54875	19,67763889	16,399444	15,32055556	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
03-01-2017	75671	81747	78692	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	4390	  NA	  NA	290	66,05923	60	60	4160	  NA	3500	580	139,42308	90	90	4130	  NA	  NA	880	213,07506	130	130	4380	  NA	  NA	770	175,79909	120	120	15,988194	15,9968056	16,131806	16,131806	59,061389	43,580833	11,081528	5,298333	17,965139	6,354722	17,965139	2,331667	1,0706383	0,9822972	1,5168076	1,2266254	1,0254054	0,8837029	1,0802389	0,9106754	3,099028	3,10472222	4,362083	4,19430556	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
04-01-2017	60474	63205	61212	611	518	844	153	    NA	63	42,2	8,7	4,88	7,66	133	110	356	145	   NA	58	45,5	7,3	5,5	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,977917	15,9808333	15,894861	15,894861	57,721528	42,685833	10,889167	5,311667	18,123194	6,383472	18,123194	2,297778	0,9535632	0,9172254	1,2455607	1,1143508	0,9223278	0,8592122	0,8105201	0,762114	2,495278	2,50583333	2,578611	2,44916667	4,63	3,5	44,2	25,5	   NA	    NA	0,44	2,8	   NA	0,36	  NA	
05-01-2017	54199	57344	56083	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,997778	15,9998611	15,948194	15,948194	57,077222	42,175833	10,797778	5,376806	18,2775	6,374444	18,2775	2,222778	0,9632867	0,9572414	1,5225434	1,2575027	0,9521289	0,8809412	0,9088812	0,8668197	1,996111	2,01916667	2,013333	1,83416667	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
06-01-2017	54611	57323	55120	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,907778	15,9045833	15,917222	15,917222	57,499444	43,580278	10,81	5,4	18,381944	6,573056	18,381944	2,263611	0,9600928	0,879274	1,4195804	1,1565848	0,9845499	0,9065327	0,9603888	0,8490996	22,904306	22,96486111	65,884028	66,68208333	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
07-01-2017	61394	64918	63178	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,937083	15,9581944	16,020556	16,020833	58,435833	45,572083	10,896667	5,425972	18,119861	6,696944	18,119861	2,354583	0,9859324	0,9006397	1,4725299	1,2221294	1,0236749	0,9351544	1,0236471	0,9198837	40,030556	39,35472222	88,791389	85,92180556	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
08-01-2017	54726	57542	54867	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,552222	15,5527778	15,591111	15,591111	54,390972	42,895	10,751667	5,375278	17,007222	6,610694	17,007222	2,547361	1,0251989	0,9553665	1,6316976	1,4231353	1,057536	0,9052425	1,0568807	0,9295103	34,405833	36,47875	28,7675	24,32263889	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
09-01-2017	59436	62194	60577	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	15,631433	15,6280946	15,887204	15,887204	47,600834	36,581085	10,957302	5,470097	15,327121	6,282754	15,327121	2,92726	0,9681763	0,9029727	1,2195838	1,04609	1,222412	1,2975295	0,9124867	0,9319058	18,245139	21,59666667	2,715833	2,3175	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
10-01-2017	55595	58276	56356	     NA	     NA	      NA	   NA	    NA	   NA	    NA	    NA	   NA	  NA	    NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	  NA	  NA	  NA	 NA	       NA	 NA	 NA	16,159028	16,1658333	16,302639	16,304861	45,953472	35,641944	11,050139	5,375972	14,494306	6,154306	14,494306	3,200974	1,0006227	0,9629091	1,4866071	1,2645707	1,2101655	1,3482436	1,1512515	1,0843931	2,1875	2,39902778	2,277083	2,10347222	    NA	    NA	   NA	   NA	   NA	    NA	   NA	    NA	   NA	   NA	  NA	NA
