Date	Flow_influent_[m3/d]	Flow_out_[m3/d]	pH_influent	Conductivity_influent_[mS/cm]	SS_influent_[mg/l]	VSS_influent_[mg/l]	COD_influent_[mg/l]	COD_influent_filtered_[mg/l]	BOD5_influent_[mg/l]	N_tot_influent_[mg/l]	NH4_N_influent_[mg/l]	P_tot_influent_[mg/l]	PO4_P_influent_[mg/l]	SS_influent_to_bio_[mg/l]	COD_influent_to_bio_[mg/l]	COD_influent_filtered_to_bio_[mg/l]	BOD5_influent_to_bio_[mg/l]	N_tot_influent_to_bio_[mg/l]	NH4_N_influent_to_bio_[mg/l]	P_tot_influent_to_bio_[mg/l]	PO4_P_influent_to_bio_[mg/l]	VSS_Line_A_[mg/l]	COD_Line_A_[mg/l]	SV_Line_A_[ml/l]	SVI_Line_A_[ml/g]	DSV_Line_A_[ml/l]	DSVI_Line_A_[ml/g]	Filament_Index_Line_A	Sedimentation_on_AS_Line_A_[m/h]	VSS_Line_B_[mg/l]	COD_Line_B_[mg/l]	SV_Line_B_[ml/l]	SVI_Line_B_[ml/g]	DSV_Line_B_[ml/l]	DSVI_Line_B_[ml/g]	Filament_Index_Line_B	Sedimentation_on_AS_Line_B_[m/h]	VSS_Line_C_[mg/l]	COD_Line_C_[mg/l]	SV_Line_C_[ml/l]	SVI_Line_C_[ml/g]	DSV_Line_C_[ml/l]	DSVI_Line_C_[ml/g]	Filament_Index_Line_C	Sedimentation_on_AS_Line_C_[m/h]	VSS_Line_D_[mg/l]	COD_Line_D_[mg/l]	SV_Line_D_[ml/l]	SVI_Line_D_[ml/g]	DSV_Line_D_[ml/l]	DSVI_Line_D_[ml/g]	Filament_Index_Line_D	Sedimentation_on_AS_Line_D_[m/h]	SS_tank_Line_A_[g/l]	SS_tank_Line_B_[g/l]	SS_tank_Line_C_[g/l]	SS_tank_Line_D_[g/l]	SS_RAS_Line_A_[g/l]	SS_RAS_Line_B_[g/l]	SS_RAS_Line_C_[g/l]	SS_RAS_Line_D_[g/l]	Total_SRT_Line_A_[d]	Aerobic_SRT_Line_A_[d]	Total_SRT_Line_B_[d]	Aerobic_SRT_Line_B_[d]	Total_SRT_Line_C_[d]	Aerobic_SRT_Line_C_[d]	Total_SRT_Line_D_[d]	Aerobic_SRT_Line_D_[d]	DO_Line_A_setpoint_[mg/l]	DO_Line_A_value_[mg/l]	DO_Line_B_setpoint_[mg/l]	DO_Line_B_value_[mg/l]	DO_Line_C_setpoint_[mg/l]	DO_Line_C_value_[mg/l]	DO_Line_D_setpoint_[mg/l]	DO_Line_D_value_[mg/l]	Fe_in_tank_A_[l/d]	Fe_in_effluent_A_[l/d]	Fe_in_tank_B_[l/d]	Fe_in_effluent_B_[l/d]	Fe_in_tank_C_[l/d]	Fe_in_effluent_C_[l/d]	Fe_in_tank_D_[l/d]	Fe_in_effluent_D_[l/d]	C_dosing_Line_A_[l/d]	C_dosing_Line_B_[l/d]	C_dosing_Line_C_[l/d]	C_dosing_Line_D_[l/d]	SS_out_[mg/l]	COD_out_[mg/l]	COD_filtered_out_[mg/l]	N_tot_out_[mg/l]	NH4_N_out_[mg/l]	NO3_N_out_[mg/l]	NO2_N_out_[mg/l]	P_tot_out_[mg/l]	PO4_P_out_[mg/l]	Temperature_[C]
01-01-2017	93146	90391	      NA	         NA	393	310	586	128	340	44,5	24	6,07	2,98	45	216	107	59,2	62,8	51,1	8,35	7,27	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	19,323056	10,155139	19,89375	9,090833	20,222361	10	23,09528	7,524583	1,724074	0,712037	2,07245	0,9375199	1,923898	0,473975	1,916667	0,55	4,80E+00	1259,757752	561,109901	1251,62076	4,8	951,50415	1,60E+03	1741,748782	158,080886	328,47614	1,39E+02	295,930809	4,764126	91,533333	2,163281	9,828959	5,07348501	5,79E-01	0,002211579	2,16970468	9,86E-02	12,469448
02-01-2017	55610	56055	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	19,344722	10,180278	19,793472	9,071389	20,302083	10,070694	22,93583	7,613194	1,40425	0,8155928	1,521884	0,9846041	1,655792	0,6738095	1,473477	0,5491071	4,80E+00	851,14669	291,4162222	685,57292	4,8	581,49146	1,89E+03	1358,719287	187,362003	329,634874	1,88E+02	192,092279	2,024292	12,837543	2,071875	7,476499	5,07869841	5,82E-01	0,002548487	0,35195315	9,95E-02	11,720008
03-01-2017	94470	91987	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	890	251,9819	185	130,94564	  NA	  NA	  NA	  NA	920	272,83511	210	155,69395	  NA	  NA	    NA	   NA	920	264,3678	215	154,45402	  NA	  NA	  NA	  NA	965	283,15728	250	183,39202	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,059444	10,600417	20,532083	9,446389	21,043194	10,441389	23,67861	7,87375	1,903556	0,9220493	1,97786	0,7093391	2,11987	0,4151757	1,775618	0,4653846	4,80E+00	1285,429664	4,8000001	1152,91599	4,8	876,58695	2,15E+03	1665,822666	125,63497	315,397159	1,63E+02	432,826401	6,843611	95,352776	2,117578	9,939491	5,07549463	5,81E-01	0,002503188	2,25889754	9,90E-02	11,718974
04-01-2017	101026	100723	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,444444	10,877083	20,865833	9,676944	21,420417	10,663333	23,75139	7,956528	1,642573	0,6512397	1,848	0,9294404	1,777364	0,6285501	1,692813	0,5828629	4,80E+00	1419,990575	4,8000001	1187,64229	4,8	815,05568	1,46E+03	1818,378052	162,563669	345,154284	1,60E+02	421,257403	18,144698	99,99	2,102344	11,951006	5,07853691	5,83E-01	0,002701662	3,79252029	9,94E-02	10,683744
05-01-2017	60895	60857	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,565694	10,9	20,871389	9,822778	21,482083	10,811806	23,43819	8,040556	1,545055	1,4448237	1,941815	1,7038624	1,934326	1,6126227	1,881605	1,4329371	4,80E+00	888,7695919	551,4105994	1509,82679	491,525912	1383,00909	0,00E+00	1655,600501	251,65906	461,334732	2,59E+02	526,655333	6,692457	17,844864	2,178516	7,629566	5,08419888	5,83E-01	0,002747202	0,46791089	1,00E-01	8,588068
06-01-2017	53005	53380	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,7275	11,028889	20,851389	10,251389	21,573611	11,2725	23,22097	8,335278	1,633979	1,1279747	2,331068	2,2509722	2,356875	2,3419444	2,053925	1,9597917	4,80E+00	783,1213111	1818,999844	1812,0249	1813,342577	1815,01663	0,00E+00	1744,564317	348,629582	584,580415	2,69E+02	605,129159	10,775696	27,158335	2,026172	7,910006	5,08458844	5,87E-01	0,003193808	0,68363714	1,01E-01	8,967305
07-01-2017	66722	67121	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,730278	11,040833	20,798194	10,669167	21,591944	11,789583	23,52931	9,003056	1,792157	0,7619347	2,443578	2,3334722	2,5	2,4986111	2,3117	2,2244444	8,54E-02	938,3212529	25,8799981	1028,90695	22,198929	1979,71276	1,71E+00	1652,176819	501,398643	844,782879	4,51E+02	856,380823	16,787558	81,217178	2,041406	9,523344	5,08079197	5,85E-01	0,002932065	1,93323207	1,00E-01	10,108307
08-01-2017	55264	55690	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	20,242083	10,833194	20,42875	10,910278	21,163333	12,017639	24,72208	10,12125	1,734994	1,1384921	2,400854	2,2420239	2,5	2,5039583	2,445245	2,4547222	0,00E+00	820,0050061	0	1732,40936	0	1894,1662	0,00E+00	1034,652213	288,933534	686,610472	4,25E+02	1118,446965	23,423927	99,99	2,056641	11,090967	5,07821321	5,80E-01	0,002357186	3,14482069	9,93E-02	10,883843
09-01-2017	59902	60252	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	  NA	    NA	   NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	 NA	       NA	 NA	       NA	  NA	  NA	    NA	   NA	 NA	      NA	 NA	       NA	  NA	  NA	  NA	  NA	  NA	       NA	 NA	       NA	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	19,821111	10,623194	20,210139	11,142222	20,720139	12,200278	25,73389	11,241528	2,129964	0,6620629	3,929319	3,1012766	3,972908	3,3681466	3,622877	2,9528472	4,17E+00	859,7207661	1918,507022	1810,59163	1761,225182	1968,28455	1,12E+03	1140,231367	137,383379	567,57247	3,44E+02	798,93615	30,717803	99,99	104,248833	20	8,48855221	4,38E-01	0,006972586	3,78590846	9,86E-02	11,348352
10-01-2017	55171	55547	      NA	         NA	    NA	   NA	    NA	    NA	   NA	   NA	    NA	   NA	   NA	    NA	   NA	   NA	   NA	   NA	   NA	   NA	  NA	2304	3096	920	296,5828	190	153,12701	  NA	  NA	2396	3239	560	164,89988	285	209,80565	  NA	  NA	2428	3352	850	271,3921	220	175,60664	  NA	  NA	2584	3657	920	275,77938	240	179,85612	  NA	  NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	19,5025	10,553333	20,169167	11,365833	20,656389	12,485278	26,09708	11,957222	1,992411	1,1589447	2,638591	2,1780423	5,424196	4,9549505	4,226263	3,8934718	3,34E+00	875,1928652	1186,592833	114,44676	1375,21072	1005,41508	1,33E+03	1903,7451	262,693721	402,775054	4,39E+02	1172,979852	32,296456	99,99	104,385933	20	5,13723679	8,01E+00	0,63305418	5	1,52E+00	11,354431
