																					
																					
																					
	Rapportperiode: 01-01-2016  -  01-05-2017							Ejby Mølle Renseanlæg													
																					
	Forklaringstankene 1 - 7 Flow: januar 2016																				
																					
																					
																					
																					
		Tilløb	Tilløb	FK 1	FK 2				FK 3	FK 4	FK 5	FK 6	FK 7	Total		Jern		Polymer	Humus	Elforbrug	
		"Forklaring
MF1"	"Forklaring
MF2"	Flow	Flow				Flow	Flow	Flow	Flow	Flow	flow forklaring		dosering forklaring		Dosering	Slam	"Forklarings
tanke"	
Dato		m³	m³	m³	m³				m³	m³	m³	m³	m³	m³		liter		"Kg
"	m³	kWh	
01 jan  fre		40500	48800	9700	12060				15380	14740	15510	12590	12340	89300		1257		28	1744	975	
02 jan  lør		36100	44500	8720	10750				14020	13400	13940	11330	11170	80600		1256		13	1692	1372	
03 jan  søn		34300	42700	8370	10280				13430	12800	13290	10780	10600	77000		1259		28	1697	1379	
04 jan  man		35700	46000	8960	15810				17160	14610	14070	13720	13570	81700		1260		4	2977	1326	
05 jan  tir		25900	33500	6860	8440				10750	9760	9650	8020	7820	59400		1000		20	1456	85	
06 jan  ons		26700	36800	7690	8800				11420	10280	10080	8390	8390	63500		1256		0	1693	0	
07 jan  tor		25800	36000	7880	8710				11030	9910	9650	8080	8090	61800		1256		2	1662	0	
08 jan  fre		37500	50800	9920	12210				15840	14560	14620	11940	11600	88300		1461		31	1964	0	
09 jan  lør		25900	36400	8000	8960				11060	10020	9810	8220	8060	62300		1520		0	1606	0	
10 jan  søn		34700	46400	9390	11390				14490	12980	13050	10840	10750	81100		1522		34	1658	0	
11 jan  man		26000	37200	7640	8730				11030	10030	10090	8500	8580	63200		1524		1	1607	0	
12 jan  tir		45300	59000	11880	14620				18680	16560	16630	13890	14060	104300		1523		32	1704	0	
13 jan  ons		43900	57400	11590	14010				17740	16050	16220	13610	13920	101300		1521		39	1756	0	
14 jan  tor		39100	52000	10040	12400				15730	14610	15080	12520	12590	91100		1520		34	1756	0	
15 jan  fre		28900	41400	7700	9380				12030	11310	11890	9710	9760	70300		1523		412	1619	0	
16 jan  lør		25600	38000	7200	8580				11010	10240	10550	8750	8720	63600		1523		33	1514	0	
17 jan  søn		23900	36400	6810	8190				10520	9670	9870	8230	8250	60300		1523		33	1493	0	
18 jan  man		25800	38600	8210	9120				11300	10120	9970	8480	8480	64400		1523		33	1466	0	
19 jan  tir		24200	36900	7960	8690				10670	9580	9470	8060	8050	61100		1522		32	1528	0	
20 jan  ons		21000	33000	6300	7230				9230	8640	9100	7440	7390	54000		1523		31	1545	0	
21 jan  tor		20000	31600	6480	7200				8970	8310	8220	7050	6850	51600		1524		31	1551	0	
22 jan  fre		21100	32800	6310	7320				9240	8820	9090	7490	7260	53900		1524		30	1559	0	
23 jan  lør		33200	46500	9740	11310				14030	12580	12600	10680	10410	79700		1522		31	1575	0	
24 jan  søn		46800	61600	12420	15250				19290	17150	17250	14640	14520	108400		1526		32	1688	0	
25 jan  man		34900	48300	12120	18200				14750	13310	17040	14100	14540	83200		1526		33	2550	0	
26 jan  tir		36300	50000	10050	12290				15110	13750	13720	11790	11520	86300		1525		29	1784	0	
27 jan  ons		33800	47400	9080	11070				14040	13080	13300	11270	11050	81200		1524		29	1748	0	
28 jan  tor		27900	40800	7900	9540				11870	11010	11100	9570	9150	68700		1526		31	1608	0	
29 jan  fre		45000	59200	11620	14680				18590	16820	16870	14360	13310	104200		1526		32	1639	0	
30 jan  lør		53600	69700	13860	17590				22740	19720	19690	16790	15640	123300		1526		32	1694	0	
31 jan  søn		50400	65600	14140	16430				20530	18340	18770	15780	14080	116000		1527		32	1686	0	
01 feb  man		58500	68800	15540	19130				24100	21550	21620	18350	17390	127300		1528		32	2640	0	
02 feb  tir		47300	62800	12510	15380				19380	17550	17740	15000	14640	110100		1526		32	1703	0	
03 feb  ons		46700	61900	14630	18070				22750	17280	20380	17350	16460	108600		1528		32	1928	0	
04 feb  tor		41600	56900	11960	14000				17040	15720	15930	13570	11950	98500		1525		31	1658	0	
05 feb  fre		40900	55900	11070	13540				16830	15610	16030	13430	12300	96800		1528		31	1623	0	
06 feb  lør		34800	48700	9070	11880				14850	13590	13660	11650	10610	83500		1528		32	1608	0	
07 feb  søn		31600	45300	8600	11260				13730	12420	12320	10670	9540	76900		1525		31	1583	0	
08 feb  man		57100	74800	14960	19110				24450	20980	21000	17800	17080	131900		1526		32	1699	0	
09 feb  tir		54800	72000	15020	18420				22820	19940	20230	17090	16330	126800		1526		31	1763	0	
10 feb  ons		48600	65400	16230	19570				4840	20450	20780	17580	16550	114000		1529		32	1778	0	
11 feb  tor		44600	61000	15120	18780				0	20000	20250	17180	16020	105600		1528		31	1721	0	
12 feb  fre		41800	57500	14820	17810				0	18770	18890	16230	14700	99300		1527		32	1599	0	
13 feb  lør		36200	51200	13450	15560				0	16530	16530	14290	12670	87400		1527		30	1529	0	
14 feb  søn		32100	46500	12240	13940				0	14930	14870	12770	11380	78600		1529		31	1506	0	
15 feb  man		28000	41900	11070	12430				0	13390	13210	11350	10160	69900		1529		27	1530	0	
16 feb  tir		26700	40600	10680	11990				0	12950	12760	10960	9770	67300		1528		31	1586	0	
17 feb  ons		27100	41300	10890	12240				0	13140	13010	11140	9930	68400		1529		30	1612	0	
18 feb  tor		26000	39900	10510	11830				0	12660	12550	10720	9490	65900		1531		159	1601	0	
19 feb  fre		24500	38000	10090	11280				0	12050	11930	10180	9030	62500		1529		32	1608	0	
20 feb  lør		46800	63700	16460	19980				0	20760	20690	17640	16620	110500		1531		32	1715	0	
21 feb  søn		42700	58700	15370	17990				0	18830	18980	16040	15130	101400		1529		29	1760	0	
22 feb  man		35000	50300	12940	14720				0	15870	16080	13830	12360	85300		1331		79	1788	0	
23 feb  tir		30300	44500	11460	12910				0	13880	14150	12270	10710	74800		1301		5	1774	0	
24 feb  ons		27000	41400	10530	11830				0	12630	12940	11180	9740	68400		1304		27	1704	0	
25 feb  tor		26400	40600	10370	11670				0	12360	12710	10950	9470	67000		1304		2	1628	0	
26 feb  fre		24300	38100	9750	10980				0	11520	11790	10190	8720	62400		1308		26	1582	0	
27 feb  lør		21900	35500	8970	10110				0	10660	10790	9430	8050	57400		1306		28	1582	0	
28 feb  søn		20800	34100	7890	9510				0	10460	10770	9110	7850	54900		1306		26	1628	0	
29 feb  man		23300	37300	9210	10610				0	11560	11620	9780	8560	60600		1304		43	1690	0	
01 mar  tir		28700	43800	10160	12260				0	14010	14410	11810	10560	72500		1306		22	1740	0	
02 mar  ons		55900	65000	18330	21830				0	22350	22450	19120	17930	120900		1306		41	1818	0	
03 mar  tor		39200	39100	12200	13550				10	14530	14730	12560	11400	78300		1303		25	1839	0	
04 mar  fre		35500	35200	11070	12310				0	13260	13400	11440	10220	70700		1301		9	1810	0	
05 mar  lør		61700	62800	14680	17970				21910	19710	19970	16810	15610	124500		1305		0	1781	0	
06 mar  søn		51000	51000	11380	14060				18400	16160	16570	13810	12440	102000		1306		2	1742	0	
07 mar  man		45800	45600	10010	12330				16260	14690	15220	12580	11290	91400		1307		3	1723	0	
08 mar  tir		38800	38400	9300	10650				13780	12220	12360	10400	9440	77200		1302		2	1751	0	
09 mar  ons		36900	36400	2440	11480				14500	12650	12690	10750	9970	73300		1306		1	3352	0	
10 mar  tor		35000	34700	0	11320				14260	12440	12430	10570	9740	69700		1302		0	1647	0	
11 mar  fre		37000	36600	6570	9960				13770	12290	17740	10400	9400	73600		1304		4	2533	0	
12 mar  lør		32800	30500	7590	8140				11000	9870	10260	8460	7570	63300		1303		0	1649	0	
13 mar  søn		29800	29400	7880	8330				10640	9370	9260	7920	7060	59200		1305		0	1679	0	
14 mar  man		30300	29900	6880	8070				10780	9830	10090	8330	7470	60200		1301		0	1726	0	
15 mar  tir		29400	29100	7640	8230				10450	9290	9220	7860	6980	58500		1307		4	1760	0	
16 mar  ons		28300	28300	6560	7490				9940	9090	9480	7840	7320	56600		1308		3	1792	732	
17 mar  tor		29400	29300	7260	7980				10420	9190	9340	8010	7340	58700		1307		0	1817	822	
18 mar  fre		27800	27700	6430	7350				9660	8970	9360	7770	7150	55500		1307		4	1825	936	
19 mar  lør		25800	25600	6520	7160				9220	8180	8180	7060	6310	51400		1307		0	1828	730	
20 mar  søn		24800	24700	5950	6680				8730	8020	8340	6950	6260	49500		1310		0	1849	680	
21 mar  man		28800	28700	7040	7920				10370	9070	9120	7810	7090	57500		1306		0	1866	793	
22 mar  tir		25100	25000	6010	6730				8820	8060	8440	6980	6350	50100		1307		2	1878	719	
23 mar  ons		24600	24600	6190	6810				8880	7840	7860	6760	6080	49200		1309		4	1885	888	
24 mar  tor		24600	24600	5980	6670				8610	7880	8240	6830	6180	49200		1303		0	1889	731	
25 mar  fre		23600	23400	6030	6570				8590	7480	7410	6430	5760	47000		1306		1	1898	706	
26 mar  lør		21900	21800	5380	5890				7670	7020	7310	6070	5490	43700		1268		0	1832	621	
27 mar  søn		33900	34000	8180	9520				11890	10920	11040	9350	8670	67900		1310		0	1930	921	
28 mar  man		25700	25000	6390	7130				9030	8290	8160	7060	6440	50700		1308		2	1945	740	
29 mar  tir		25300	24700	5910	6730				8560	8310	8680	7090	6570	50000		1306		1	1943	682	
30 mar  ons		32100	31400	8270	9130				11080	10240	10080	8660	8070	63500		1310		1	1913	820	
31 mar  tor		24100	23400	6070	6670				8370	7780	7690	6570	5970	47500		1310		5	1882	754	
01 apr  fre		22800	22300	5390	6380				7920	7490	7560	6480	5710	45100		1314		0	1777	651	
02 apr  lør		22100	21300	5940	6310				7820	7030	6870	6020	5270	43400		1312		0	1739	596	
03 apr  søn		22100	21500	5180	6270				7720	7290	7310	6360	5470	43600		1314		1	1763	610	
04 apr  man		36600	36500	8750	10330				12830	11760	11960	10010	9260	73100		1312		0	1817	1019	
05 apr  tir		64100	54500	14630	18270				23300	20810	21410	17750	16980	118600		1312		0	2494	1301	
06 apr  ons		52300	52700	12060	14720				18440	16690	16950	14280	13510	105000		1312		2	1902	1284	
07 apr  tor		46700	46600	9960	12550				16270	15060	15580	12890	12880	93300		1313		1	1864	1178	
08 apr  fre		30200	30300	7110	8400				10750	9540	9530	8150	8530	60500		1320		3	1720	946	
09 apr  lør		24900	25000	5880	6610				8450	7890	8260	6810	7300	49900		1314		1	1624	860	
10 apr  søn		24000	24100	5940	6650				8460	7610	7610	6530	6870	48100		1316		3	1631	830	
11 apr  man		25100	25100	5900	6650				8420	8090	8520	6940	7200	50200		1317		1	1665	704	
12 apr  tir		36000	36000	8350	9870				12380	11460	11930	9880	9880	72000		1312		0	1753	892	
13 apr  ons		32600	25800	7830	8910				11360	10430	10560	9000	9070	58400		1313		0	2238	682	
14 apr  tor		30700	30900	7180	8430				10680	9860	10330	8480	8550	61600		1316		0	1754	870	
