																																	
																																	
	Rapportperiode: 01-01-2016  -  01-05-2017																																
															Ejby Mølle Renseanlæg																		
																																	
	Kontaktfilterrapport: januar 2016																																
																																	
																																	
																																	
																																	
			Tilløb Kontaktfilter				Udløb Kontaktfilter							Skyllevand Kontaktfilter					Jern Kontaktfilter			Flow fra BF2				Slamvand Fra Kontaktfilter				KWH Kontaktfilter			
			Flow	Max time		Min time	Flow		Max time	Min time				Flow		Max time		Min time	Flow	Max time	Min time	Flow	Max time	Min time		Flow		Max time	Min time	KWH	Max time		Min time
Dato			m³	m³		m³	m³		m³	m³				m³		m³		m³	l	l	l	m³	m³	m³		m³		m³	m³	kWh	kW		kW
01 jan  fre			36900				28900							5730					901			30800	0	0		6970				4235			
02 jan  lør			38500				30500							6260					730			24500	0	0		6750				4249			
03 jan  søn			41800				34500							6090					638			20600	0	0		6430				4194			
04 jan  man			41200				34500							5390					543			16400	0	0		5720				3826			
05 jan  tir			38600				32700							4000					196			15800	0	0		5060				3347			
06 jan  ons			42300				37900							2520					395			10400	0	0		3620				2886			
07 jan  tor			47800				43800							2150					255			5500	0	0		3200				2809			
08 jan  fre			47600				41900							3130					483			16300	0	0		4900				3395			
09 jan  lør			47000				42600							2220					279			8300	0	0		3690				2883			
10 jan  søn			50800				44700							3590					553			22700	0	0		5350				3793			
11 jan  man			43800				38200							3630					385			9100	0	0		4910				3130			
12 jan  tir			55700				47800							4370					791			44300	0	0		7100				4383			
13 jan  ons			50200				42000							4820					904			46300	0	0		7390				4535			
14 jan  tor			41500				33200							4910					969			36200	0	0		7300				4293			
15 jan  fre			38600				31000							6180					643			16700	0	0		6550				3831			
16 jan  lør			47000				42700							3220					328			8200	0	0		3890				2983			
17 jan  søn			48500				45600							2220					207			5000	0	0		2770				2652			
18 jan  man			46200				40300							5450					336			8100	0	0		5030				3281			
19 jan  tir			44800				40300							3380					299			6800	0	0		3820				2887			
20 jan  ons			54000				53500							0					0			0	0	0		190				2001			
21 jan  tor			51800				51400							0					0			0	0	0		0				1932			
22 jan  fre			49900				46500							3770					77			1600	0	0		2790				2712			
23 jan  lør			48700				44000							3110					560			21400	0	0		4250				3342			
24 jan  søn			53900				46100							5320					907			48800	0	0		7320				4772			
25 jan  man			36100				28400							5230					873			29300	0	0		6910				4081			
26 jan  tir			44300				36400							5830					817			29800	0	0		6920				4274			
27 jan  ons			40400				32500							6200					782			27200	0	0		6770				4060			
28 jan  tor			38100				30900							7030					566			14000	0	0		6250				3812			
29 jan  fre			53600				45900							5650					858			48200	0	0		7030				4764			
30 jan  lør			68700				60800							5190					1067			68400	0	0		7420				5399			
31 jan  søn			60600				52800							5020					1043			60400	0	0		7350				5163			
01 feb  man			65700				57900							4700					1034			65500	0	0		7300				5311			
02 feb  tir			54300				46500							5110					1024			54100	0	0		7160				5050			
03 feb  ons			54000				46200							4950					1006			53800	0	0		6960				5006			
04 feb  tor			44100				36400							4980					942			41300	0	0		6800				4513			
05 feb  fre			43800				36500							5030					828			39400	0	0		6420				4453			
06 feb  lør			43000				35700							5620					644			25000	0	0		6170				4109			
07 feb  søn			47600				40900							6270					268			17600	0	0		6000				4118			
08 feb  man			72700				65300							4820					51			72500	0	0		6840				5405			
09 feb  tir			69200				61500							4880					52			69000	0	0		7010				5360			
10 feb  ons			57300				49700							4880					800			55700	0	0		7050				4979			
11 feb  tor			44500				36900							4870					1083			44300	0	0		6860				4556			
12 feb  fre			39200				31700							4840					1058			39000	0	0		6370				4454			
13 feb  lør			37200				30400							5210					804			26700	0	0		5900				4168			
14 feb  søn			43300				37300							5440					656			18900	0	0		5610				4093			
15 feb  man			46700				40500							5270					454			13000	0	0		5160				3629			
16 feb  tir			50000				44600							5090					345			9000	0	0		4790				3499			
17 feb  ons			48300				42200							6220					388			10400	0	0		5370				3614			
18 feb  tor			50200				44700							6160					301			7700	0	0		5250				3442			
19 feb  fre			56500				53500							3910					115			3000	0	0		2930				2893			
20 feb  lør			53100				45400							5160					1010			48700	0	0		6960				4590			
21 feb  søn			50700				43500							5520					858			42900	0	0		6770				4581			
22 feb  man			42000				34600							6220					782			25400	0	0		6620				4234			
23 feb  tir			45400				39500							5060					528			16800	0	0		5220				3762			
24 feb  ons			47900				42700							5110					383			9900	0	0		4750				3531			
25 feb  tor			49300				44300							5170					319			8500	0	0		4510				3388			
26 feb  fre			47600				44100							3080					267			6400	0	0		2900				2829			
27 feb  lør			52700				51600							900					73			1700	0	0		940				2211			
28 feb  søn			54400				54200							0					0			0	0	0		0				2014			
29 feb  man			52400				47900							5310					137			3400	0	0		4260				3110			
01 mar  tir			46300				40500							5480					445			13300	0	0		5080				3561			
02 mar  ons			65200				58300							5150					1008			63100	0	0		7220				5203			
03 mar  tor			33500				25900							5900					826			24000	0	0		6640				3877			
04 mar  fre			38900				31900							6390					564			16100	0	0		5890				3643			
05 mar  lør			69500				62400							5360					837			65600	0	0		7230				5132			
06 mar  søn			50100				42500							4980					823			44700	0	0		6940				4663			
07 mar  man			42500				34600							5860					883			35200	0	0		6870				4266			
08 mar  tir			40100				32900							6330					628			20900	0	0		6460				3898			
09 mar  ons			38800				32200							5250					618			18100	0	0		5660				3611			
10 mar  tor			62700				56800							5170					522			13200	0	0		5540				3786			
11 mar  fre			63900				60100							4340					398			9700	0	0		4280				3440			
12 mar  lør			61100				57500							3890					238			5100	0	0		3540				3094			
13 mar  søn			59500				56300							3970					74			1500	0	0		2890				2905			
14 mar  man			57300				54700							2650					116			2400	0	0		2280				2650			
15 mar  tir			52100				49200							2950					113			2500	0	0		2330				2572			
16 mar  ons			53500				51000							2890					49			1300	0	0		2320				2511			
17 mar  tor			50000				46000							4180					147			3700	0	0		3410				2767			
18 mar  fre			52200				50700							1230					55			1400	0	0		1120				2160			
19 mar  lør			50900				50600							0					0			0	0	0		0				1856			
20 mar  søn			49000				48900							0					0			0	0	0		0				1885			
21 mar  man			54600				52400							2800					35			1300	0	0		2190				2572			
22 mar  tir			49800				49600							0					0			0	0	0		0				1839			
23 mar  ons			49000				48500							0					0			0	0	0		0				1828			
24 mar  tor			48900				48600							0					0			0	0	0		0				1808			
25 mar  fre			46500				46300							0					0			0	0	0		0				1722			
26 mar  lør			43200				43200							0					0			0	0	0		0				1614			
27 mar  søn			54600				51400							3390					186			11600	0	0		3070				2804			
28 mar  man			50800				50900							0					0			0	0	0		0				1939			
29 mar  tir			50200				50100							0					0			0	0	0		0				1864			
30 mar  ons			52300				48400							4210					188			7500	0	0		3540				2909			
31 mar  tor			47800				47500							0					0			0	0	0		0				1788			
01 apr  fre			45800				45400							0					0			0	0	0		0				1695			
02 apr  lør			44100				43700							0					0			0	0	0		0				1629			
03 apr  søn			44200				43900							0					0			0	0	0		0				1696			
04 apr  man			52200				49000							2330					313			14400	0	0		2880				2863			
05 apr  tir			65900				59600							5350					715			41500	0	0		6160				4331			
06 apr  ons			48900				40900							6000					949			39700	0	0		7160				4280			
07 apr  tor			44800				37200							5990					803			31000	0	0		7060				4072			
08 apr  fre			53000				50800							2540					164			5000	0	0		2170				2547			
09 apr  lør			50200				49800							0					0			0	0	0		0				1814			
10 apr  søn			48400				48300							0					0			0	0	0		0				1819			
11 apr  man			50500				50200							0					0			0	0	0		80				1851			
12 apr  tir			50700				46900							2370					364			15500	0	0		3630				2941			
13 apr  ons			51700				49100							3300					0			0	0	0		2260				2402			
14 apr  tor			54200				52200							1630					105			6600	0	0		1600				2399			
15 apr  fre			51900				46800							5560					260			9300	0	0		4810				3162			
16 apr  lør			47700				46200							780					126			4800	0	0		1070				2054			
17 apr  søn			45900				45700							0					0			0	0	0		0				1729			
18 apr  man			53300				49400							4660					10			400	0	0		3580				2729			
19 apr  tir			48100				46400							1800					5			200	0	0		1380				2093			
20 apr  ons			46000				43600							3070					0			0	0	0		1960				2153			
21 apr  tor			46800				44300							3080					0			0	0	0		2020				2187			
22 apr  fre			43800				41500							3040					0			0	0	0		1970				2109			
23 apr  lør			43000				40800							2750					0			0	0	0		1700				2041			
24 apr  søn			45200				43100							2760					0			0	0	0		1750				2138			
25 apr  man			52400				49800							2880					158			11000	0	0		2420				2614			
26 apr  tir			54400				49000							5330					451			20700	0	0		5150				3534			
27 apr  ons			56100				49100							6790					617			29800	0	0		6280				4049			
28 apr  tor			53700				49000							7270					20			800	0	0		4810				3087			
29 apr  fre			63700				57700							5490					656			43300	2	0		5750				4238			
30 apr  lør			50300				43500							6040					721			28100	108	1		6500				3910			
01 maj  søn			54600				49400							6740					82			2100	8	1		4630				3140			
02 maj  man			55900				52000							6030					5			200	2	0		3890				2905			
03 maj  tir			56800				53000							5480					34			1400	0	0		3630				2888			
04 maj  ons			51600				49200							3180					0			0	0	0		2000				2343			
05 maj  tor			48400				45900							3180					0			0	0	0		1970				2223			
06 maj  fre			49100				46400							3190					0			0	0	0		2010				2307			
07 maj  lør			46700				44300							3200					0			0	0	0		2010				2241			
08 maj  søn			46500				44200							3200					0			0	0	0		2010				2290			
09 maj  man			49200				46800							3200					0			0	0	0		1990				2315			
10 maj  tir			50500				48000							3200					0			0	0	0		2010				2348			
11 maj  ons			35800				32900							3190					0			0	0	0		1980				2037			
12 maj  tor			47100				44600							3200					0			0	0	0		2020				2235			
13 maj  fre			48200				45800							3190					0			0	0	0		1980				2253			
14 maj  lør			42400				39800							3200					0			0	0	0		2020				2034			
15 maj  søn			43100				40900							3200					0			0	0	0		1980				2067			
16 maj  man			42000				39800							3190					0			0	0	0		1960				2100			
17 maj  tir			43500				41300							3200					0			0	0	0		1990				2109			
18 maj  ons			44500				42100							3200					0			0	0	0		2030				2148			
19 maj  tor			43500				40900							3210					0			0	0	0		2000				2113			
20 maj  fre			42000				39300							3200					0			0	0	0		2020				2055			
21 maj  lør			45500				42300							2530					316			15000	0	0		2580				2744			
22 maj  søn			50500				46500							5140					127			6800	0	0		3640				2989			
23 maj  man			58100				53400							5280					368			18400	0	0		4690				3620			
24 maj  tir			47400				43000							6100					5			300	0	0		3820				2658			
25 maj  ons			41500				39000							3210					0			0	0	0		2000				2036			
26 maj  tor			41200				38600							3200					0			0	0	0		1960				2032			
27 maj  fre			40500				38200							2870					0			0	0	0		1840				1982			
28 maj  lør			38300				35600							3200					0			0	0	0		1930				1908			
29 maj  søn			41800				39100							3210					2			200	0	0		1960				2109			
30 maj  man			50300				45000							6360					211			10800	0	0		4770				3242			
31 maj  tir			46800				42200							6170					4			400	0	0		3900				2658			
01 jun  ons			41300				38500							3240					0			0	0	0		2010				2052			
02 jun  tor			40800				38100							3240					0			0	0	0		2000				2061			
03 jun  fre			39600				37200							3240					0			0	0	0		2000				2010			
04 jun  lør			36400				34100							2820					0			0	0	0		1790				1828			
05 jun  søn			36000				33900							2820					0			0	0	0		1840				1863			
