																																					
	"Rapportperiode: 01-01-2016  -  01-05-2017
"																																				
											Ejby Mølle Renseanlæg																										
																																					
																																					
																																					
			Tilløb Renseanlæg												Tilløb Regntank				Afløb Regntank							Afløb		Afløb Renseanlæg									
			Flow		Max	Min		Bund-fald	COD ToT	NH4+		NO3+ NO2		PO4					Regn	Afløb		NH4+ NH3	NO3+ NO2	PO4- P	COD ToT	MKT		Flow	Max Time	Temp		Ilt	Bund-fald	NH4+ NH3	NO3+ NO2	PO4	Jern
Dato			m³		m³	m³		ml/l	mg/l	mg/l		mg/l		mg/l	m³				mm	m³		mg/l	mg/l	mg/l	mg/l	m³		m³	m³	°C		%	ml/l	mg/l	mg/l	mg/l	mg/l
01 jan  fre			89,300		4,100	3,200									0				0.2	0						0		80,400	3,900	8.0		84		0.002	6.04		
02 jan  lør			80,600		3,900	2,700									0				0.0	0						0		71,600	3,600	8.7		84		0.006	6.03		
03 jan  søn			77,000		3,700	2,500									0				0.0	0						0		68,300	3,500	9.1		81		0.013	8.31		
04 jan  man			71,100		3,400	2,100									0				0.0	0						0		63,100	3,100	8.9		83		0.001	7.21		
05 jan  tir			59,400		4,100	1,600									23800				0.0	300						0		59,700	3,900	8.5		86		1.051	4.13		
06 jan  ons			63,500		3,100	2,000									0				0.0	0						0		57,900	2,900	8.5		86		3.116	2.84		
07 jan  tor			61,800		3,000	2,000									0				2.2	0						0		56,700	2,800	8.7		83		0.838	3.74		
08 jan  fre			73,500		4,800	1,800									0				1.2	0						0		66,400	4,500	9.1		82		1.256	4.00		
09 jan  lør			62,300		3,900	1,800									0				0.2	0						0		57,200	3,600	9.2		83		0.202	3.71		
10 jan  søn			81,100		5,500	1,700									4000				3.2	0						0		73,400	5,400	9.2		82		1.017	4.93		
11 jan  man			63,200		3,100	1,800									0				0.6	0						0		56,400	2,800	9.2		85		0.094	5.12		
12 jan  tir			104,300		5,700	2,900									17900				13.2	9,500		6.40	1.83	0.35	131	100		93,500	5,200	9.0		83		1.810	4.29		
13 jan  ons			101,300		6,000	3,100		10	518	12.20		1.71		0.61	5600				3.6	4,500						0		91,500	5,600	9.1		81	0.05	2.856	2.42	0.080	0.050
14 jan  tor			91,100		4,700	2,600									0				0.0	0		4.30	1.14	0.07	97	0		81,100	4,200	9.1		81		2.540	2.97		
15 jan  fre			70,300		3,400	2,300									0				0.0	0						0		61,300	3,100	8.2		80		1.131	4.02		
16 jan  lør			63,600		3,300	2,000									0				0.4	0						0		58,200	2,900	8.1		79		0.227	4.77		
17 jan  søn			60,300		3,100	1,900									0				0.0	0						0		55,700	3,000	8.7		81		0.085	4.92		
18 jan  man			64,400		3,200	2,100									0				0.4	0						0		57,300	2,900	8.8		80		0.156	4.78		
19 jan  tir			61,100		3,000	1,800									0				0.0	0						0		55,100	2,800	8.5		81		0.147	3.66		
20 jan  ons			54,000		2,700	1,600									0				0.0	0						0		52,400	2,600	8.7		94		0.003	3.09		
21 jan  tor			51,600		2,500	1,600									0				0.0	0						0		50,300	2,400	8.6		91		0.008	3.34		
22 jan  fre			53,900		2,800	1,500									0				5.0	0						0		49,700	2,600	8.4		83		0.089	4.83		
23 jan  lør			79,700		4,700	1,600									0				0.8	0						0		72,900	4,200	8.5		81		0.948	5.97		
24 jan  søn			108,400		6,100	3,000									11800				8.2	3,600		5.40	3.10	0.32	176	100		97,500	5,800	8.5		82		3.024	5.94		
25 jan  man			83,200		4,700	3,000			353	14.80		2.27		0.75	0				0.0	0						0		73,900	4,300	8.1		82		1.066	4.75	0.070	0.010
26 jan  tir			86,300		5,600	2,900									0				2.2	0						0		76,900	5,100	8.1		82		1.437	4.95		
27 jan  ons			81,200		4,900	2,400									0				0.8	0						0		71,500	4,400	8.7		81		1.587	3.23		
28 jan  tor			68,700		3,300	2,200									0				0.8	0						0		60,100	2,900	9.1		81		0.192	3.44		
29 jan  fre			104,200		6,700	2,700									7700				11.4	0						0		93,900	6,300	9.1		82		2.571	3.16		
30 jan  lør			123,300		6,800	4,200									23400				8.4	19,500						0		113,600	6,300	9.0		82		2.537	3.19		
31 jan  søn			116,000		6,400	3,800									4000				3.2	3,700						0		106,100	6,000	8.5		81		1.929	3.27		
01 feb  man			121,300		5,900	4,300									4000				4.0	2,700		2.90	2.04	0.02	148	0		110,800	5,700	7.6		81		2.585	3.21		
02 feb  tir			110,100		5,300	4,000									0				2.8	0						0		100,100	5,000	7.8		77		2.825	3.35		
03 feb  ons			108,600		6,600	3,700									3200				2.6	1,200		3.10	2.14	0.02	110	0		99,400	6,000	8.1		78		2.488	3.51		
04 feb  tor			98,500		4,700	3,400									0				0.0	0						0		88,600	4,400	8.1		78		2.841	3.34		
05 feb  fre			96,800		6,200	3,000									0				2.4	0						0		88,000	5,800	8.1		81		3.151	3.66		
06 feb  lør			83,500		4,300	2,700									0				0.2	0						0		75,000	4,000	8.3		82		1.851	5.20		
07 feb  søn			76,900		3,600	2,500									0				2.0	0						0		68,400	3,400	8.6		81		1.105	6.18		
08 feb  man			131,900		6,700	4,400									29900				12.0	20,900		5.80	1.14	0.12	46	0		122,700	6,300	8.8		80		1.559	4.02		
09 feb  tir			126,800		6,800	4,100			301	9.40		2.01		0.46	17900				9.0	16,400						0		117,400	6,300	8.4		80		1.369	3.64	0.210	0.060
10 feb  ons			114,000		5,500	3,700									0				1.4	0		2.60	1.20	0.05	53	0		104,600	5,100	8.0		81		1.088	3.54		
11 feb  tor			105,600		5,000	3,900									0				0.0	0						0		96,100	4,500	7.9		80		2.112	3.78		
12 feb  fre			99,300		4,500	3,600									0				0.0	0						0		90,100	4,300	8.4		79		2.516	4.84		
13 feb  lør			87,400		4,100	2,900									0				0.0	100						0		78,900	4,000	8.4		82		2.084	6.04		
14 feb  søn			78,600		3,800	2,600									0				0.0	0						0		71,200	3,700	8.3		81		0.566	6.61		
15 feb  man			69,900		3,400	2,100									0				0.0	0						0		62,500	3,100	8.2		81		0.083	5.28		
16 feb  tir			67,300		3,200	2,100									0				0.0	0						0		61,100	3,000	8.2		82		0.027	4.06		
17 feb  ons			68,400		3,200	2,300									0				0.0	0						0		61,500	3,100	8.4		81		0.021	4.17		
18 feb  tor			65,900		3,200	2,100									0				0.0	0						0		59,400	3,100	8.5		81		0.012	3.86		
19 feb  fre			62,500		3,000	1,900									0				2.4	0						0		58,900	2,900	8.7		82		0.020	3.68		
20 feb  lør			110,500		5,600	3,000									15300				7.8	7,000						0		101,100	5,400	8.7		81		0.474	5.90		
21 feb  søn			101,400		6,700	2,800									4300				6.2	2,400						0		91,400	6,200	8.1		80		1.011	5.49		
22 feb  man			85,300		4,800	2,900									0				0.0	0						0		75,500	4,100	7.9		81		0.048	4.78		
23 feb  tir			74,800		3,800	2,200									0				0.4	0						0		66,300	3,600	8.1		80		0.074	5.07		
24 feb  ons			68,400		3,300	2,100			807	20.20		1.89		1.11	0				0.0	0						0		61,300	3,000	8.4		80		0.010	3.92	0.040	0.040
25 feb  tor			67,000		3,200	2,100									0				0.0	0						0		60,200	3,100	8.6		80		0.008	3.62		
26 feb  fre			62,400		3,100	1,700									0				0.0	0						0		57,300	2,900	8.7		81		0.005	2.98		
27 feb  lør			57,400		3,000	1,900									0				0.2	0						0		54,600	2,900	8.9		84		0.005	2.78		
28 feb  søn			54,900		2,800	1,700									0				0.0	0						0		53,200	2,600	8.8		91		0.003	3.15		
29 feb  man			60,600		3,000	1,800									0				0.0	0						0		54,500	2,900	8.8		84		0.039	3.11		
01 mar  tir			72,500		3,900	2,100									0				3.0	0						0		64,300	3,800	8.9		83		0.227	3.50		
02 mar  ons			120,900		6,700	3,600									24300				11.6	15,600						0		111,400	6,200	9.0		81		0.803	4.80		
03 mar  tor			78,300		3,800	2,800									0				0.0	0						0		68,600	3,600	8.3		82		0.259	3.80		
04 mar  fre			70,700		3,900	2,200									0				0.2	0						0		62,300	3,600	8.3		81		0.287	4.82		
05 mar  lør			124,500		6,500	2,300									14200				13.6	5,900						0		114,600	6,200	8.7		83		1.478	4.56		
06 mar  søn			102,000		5,700	3,000			364	9.70		1.73		0.52	0				2.4	0						0		91,800	5,100	8.4		82		1.352	4.15	0.110	
07 mar  man			91,400		5,200	2,900									0				1.0	0						0		81,300	4,700	7.9		83		1.428	3.40		
08 mar  tir			77,200		3,800	2,500									0				0.0	0						0		67,400	3,500	8.3		82		0.523	4.17		
09 mar  ons			73,300		3,500	2,100									0				0.0	0						0		64,600	3,200	8.7		82		0.327	4.14		
10 mar  tor			69,700		3,400	2,100									0				0.0	0						0		62,400	3,200	9.1		84		0.100	3.50		
11 mar  fre			65,300		3,300	1,900									0				0.0	0						0		60,000	3,300	9.3		88		0.084	2.97		
12 mar  lør			61,500		3,200	1,800									0				0.0	0						0		56,600	2,900	9.5		93		0.085	2.31		
13 mar  søn			59,200		3,000	1,900									0				0.0	0						0		54,700	2,800	9.3		94		0.085	2.29		
14 mar  man			60,200		3,000	1,800									0				0.0	0						0		56,400	2,900	9.2		88		0.087	2.31		
15 mar  tir			58,500		3,000	1,800									0				0.0	0						0		54,500	2,800	9.4		83		0.093	2.15		
16 mar  ons			56,600		2,900	1,600									0				0.0	0						0		52,800	3,000	9.6		83		0.091	1.85		
17 mar  tor			58,700		3,000	1,600			497	23.40		0.93		1.34	0				0.0	0						0		53,000	3,000	9.7		82		0.092	2.22	0.070	0.050
18 mar  fre			55,500		3,000	1,600									0				0.0	0						0		52,800	3,000	9.8		82		0.024	1.96		
19 mar  lør			51,400		2,600	1,600									0				0.0	0						0		49,700	2,500	9.8		95		0.077	2.27		
20 mar  søn			49,500		2,500	1,600									0				0.0	0						0		48,400	2,500	9.6		94		0.060	2.95		
21 mar  man			57,500		3,500	1,600									0				0.6	0						0		53,700	3,200	9.6		84		0.105	3.04		
22 mar  tir			50,100		2,600	1,600									0				0.0	0						0		48,800	2,500	9.6		97		0.211	1.71		
23 mar  ons			49,200		2,500	1,400									0				0.0	0						0		47,500	2,500	9.7		96		0.203	1.69		
24 mar  tor			49,200		2,800	1,400									0				1.0	0						0		47,700	2,600	9.9		95		0.209	1.90		
25 mar  fre			47,000		2,900	1,400									0				0.6	0						0		46,000	2,800	9.8		96		0.146	2.52		
26 mar  lør			43,700		2,400	1,400									0				0.0	0						0		42,600	2,300	9.6		95		0.041	2.87		
27 mar  søn			67,900		6,500	1,500									700				4.0	0						0		64,000	6,000	9.7		83		0.312	5.28		
28 mar  man			50,700		2,900	1,500									0				0.6	0						0		50,300	2,800	9.5		95		0.032	3.41		
29 mar  tir			50,000		2,600	1,400			631	23.40		0.86		1.12	0				0.6	0						0		49,600	2,500	9.4		96		0.010	2.05	0.130	0.010
30 mar  ons			63,500		4,800	1,500									0				3.6	0						0		59,200	4,300	9.7		82		0.022	2.61		
