StartTime	Parameter	Origin	Value
2016-01-01	EM.Outlet.Flow.m3.h	Outlet	3554.81549312549
2016-01-02	EM.Outlet.Flow.m3.h	Outlet	3132.65995478896
2016-01-03	EM.Outlet.Flow.m3.h	Outlet	2926.40768396743
2016-01-04	EM.Outlet.Flow.m3.h	Outlet	2773.47163815972
2016-01-05	EM.Outlet.Flow.m3.h	Outlet	2438.8475579757
2016-01-06	EM.Outlet.Flow.m3.h	Outlet	2608.97410481535
2016-01-07	EM.Outlet.Flow.m3.h	Outlet	2423.02005495375
2016-01-08	EM.Outlet.Flow.m3.h	Outlet	2854.40585302285
2016-01-09	EM.Outlet.Flow.m3.h	Outlet	2430.51751250199
2016-01-10	EM.Outlet.Flow.m3.h	Outlet	2929.30513062431
2016-01-11	EM.Outlet.Flow.m3.h	Outlet	2565.45884314634
2016-01-12	EM.Outlet.Flow.m3.h	Outlet	3266.68208199063
2016-01-13	EM.Outlet.Flow.m3.h	Outlet	4016.75279730833
2016-01-14	EM.Outlet.Flow.m3.h	Outlet	3822.29462551507
2016-01-15	EM.Outlet.Flow.m3.h	Outlet	2701.24783201953
2016-01-16	EM.Outlet.Flow.m3.h	Outlet	2493.79600389972
2016-01-17	EM.Outlet.Flow.m3.h	Outlet	2398.74785284597
2016-01-18	EM.Outlet.Flow.m3.h	Outlet	2450.97371976229
2016-01-19	EM.Outlet.Flow.m3.h	Outlet	2374.68779751251
2016-01-20	EM.Outlet.Flow.m3.h	Outlet	2264.36871556833
2016-01-21	EM.Outlet.Flow.m3.h	Outlet	2156.96692289409
2016-01-22	EM.Outlet.Flow.m3.h	Outlet	2122.40917768794
2016-01-23	EM.Outlet.Flow.m3.h	Outlet	2435.38803495156
2016-01-24	EM.Outlet.Flow.m3.h	Outlet	3963.40847728736
2016-01-25	EM.Outlet.Flow.m3.h	Outlet	3632.3566745225
2016-01-26	EM.Outlet.Flow.m3.h	Outlet	3056.02775148676
2016-01-27	EM.Outlet.Flow.m3.h	Outlet	3384.72842987927
2016-01-28	EM.Outlet.Flow.m3.h	Outlet	2570.30994175437
2016-01-29	EM.Outlet.Flow.m3.h	Outlet	3641.53328000736
2016-01-30	EM.Outlet.Flow.m3.h	Outlet	4334.52652224653
2016-01-31	EM.Outlet.Flow.m3.h	Outlet	4756.78062513125
2016-02-01	EM.Outlet.Flow.m3.h	Outlet	4561.25202005903
