Indløb																																			Indløb																	Indløb										 Indløb			
		1' kvartal							2' kvartal						3' kvartal						4' kvartal					1' kvartal										2' kvartal								3' kvartal									4' kvartal												
		EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle	EjbyMølle																																								
																																																														Vægtet gns. for året			
																																																																	
Rællenavne	23.00	13.01.2016	25.01.2016	09.02.2016	24.02.2016	06.03.2016	17.03.2016	29.03.2016	11.04.2016	27.04.2016	09.05.2016	22.05.2016	08.06.2016	23.06.2016	04.07.2016	16.08.2016	31.08.2016	15.09.2016	25.09.2016	10.10.2016	25.10.2016	06.11.2016	24.11.2016	07.12.2016		2016-01-13	2016-01-25	2016-02-09	2016-02-24	2016-03-06	2016-03-17		Sum	vægtet gns.		2016-03-29	2016-04-11	2016-05-09	2016-05-09	2016-05-22	2016-06-08	Sum	vægtet gns.	2016-06-23	2016-07-04	2016-08-16	2016-08-31	2016-09-15	2016-09-25	Sum	vægtet gns.		2016-10-10	2016-10-25	2016-11-06	2016-11-24	2016-12-07	Sum	vægtet gns.				Sum år	vægtet gns.	
Ammonial+ammonium-N	mg/l	13.20 mg/l	14.20 mg/l	10.50 mg/l	21.80 mg/l	10.80 mg/l	24.80 mg/l	23.30 mg/l	30.00 mg/l	12.80 mg/l	23.10 mg/l	17.70 mg/l	33.10 mg/l	31.30 mg/l	21.20 mg/l	34.00 mg/l	36.80 mg/l	37.90 mg/l	38.20 mg/l	25.40 mg/l	24.20 mg/l	23.70 mg/l	33.70 mg/l	24.70 mg/l		1337160	1181440	1331400	1491120	1101600	1450800		7893520	14.61	Ammonial+ammonium-N	1165000	1506000	1115730	1115730	1030140	1324000	6091600	18.07	1158100	845880	1105000	1240160	1262070	1126900	6738110	32.73	Ammonial+ammonium-N	1432560	1069640	1085460	1381700	1405430	6374790	26.09			Ammonial+ammonium-N	27098020	20.41	mg/l
BI5 Biolemisl iltforbrug 5 døgn	mg/l	147.00 mg/l	167.00 mg/l	102.00 mg/l	174.00 mg/l	159.00 mg/l	260.00 mg/l	300.00 mg/l	240.00 mg/l	230.00 mg/l	290.00 mg/l	210.00 mg/l	420.00 mg/l	370.00 mg/l	320.00 mg/l	420.00 mg/l	450.00 mg/l	480.00 mg/l	290.00 mg/l	300.00 mg/l	300.00 mg/l	150.00 mg/l	370.00 mg/l	330.00 mg/l		14891100	13894400	12933600	11901600	16218000	15210000		85048700	157	BI5 Biolemisl iltforbrug 5 døgn	15000000	12048000	14007000	14007000	12222000	16800000	69084000	205	13690000	12768000	13650000	15165000	15984000	8555000	79812000	388	BI5 Biolemisl iltforbrug 5 døgn	16920000	13260000	6870000	15170000	18777000	70997000	291			BI5 Biolemisl iltforbrug 5 døgn	304941700	230	mg/l
Chlorid	mg/l	280.00 mg/l	204.00 mg/l	114.00 mg/l	198.00 mg/l	134.00 mg/l	229.00 mg/l	235.00 mg/l	210.00 mg/l	103.00 mg/l	274.00 mg/l	180.00 mg/l	328.00 mg/l	279.00 mg/l	287.00 mg/l	233.00 mg/l	266.00 mg/l	320.00 mg/l	317.00 mg/l	205.00 mg/l	232.00 mg/l	46.60 mg/l	296.00 mg/l	247.00 mg/l		28364000	16972800	14455200	13543200	13668000	13396500		100399700	186	Chlorid	11750000	10542000	13234200	13234200	10476000	13120000	60606400	180	10323000	11451300	7572500	8964200	10656000	9351500	58318500	283	Chlorid	11562000	10254400	2134280	12136000	14054300	50140980	205			Chlorid	269465580	203	mg/l
COD, lemisl iltforbrug	mg/l	600.00 mg/l	380.00 mg/l	470.00 mg/l	440.00 mg/l	330.00 mg/l	510.00 mg/l	610.00 mg/l	590.00 mg/l	430.00 mg/l	660.00 mg/l	580.00 mg/l	960.00 mg/l	870.00 mg/l	640.00 mg/l	950.00 mg/l	1100.00 mg/l	1300.00 mg/l	690.00 mg/l	600.00 mg/l	640.00 mg/l	410.00 mg/l	730.00 mg/l	780.00 mg/l		60780000	31616000	59596000	30096000	33660000	29835000		245583000	455	COD, lemisl iltforbrug	30500000	29618000	31878000	31878000	33756000	38400000	165530000	491	32190000	25536000	30875000	37070000	43290000	20355000	189316000	919	COD, lemisl iltforbrug	33840000	28288000	18778000	29930000	44382000	155218000	635			COD, lemisl iltforbrug	755647000	569	mg/l
Maximum vandføring	m3/h	6000.00 m3/h	4700.00 m3/h	6800.00 m3/h	3300.00 m3/h	5700.00 m3/h	3000.00 m3/h	2600.00 m3/h	2500.00 m3/h	6600.00 m3/h	2300.00 m3/h	6300.00 m3/h	2100.00 m3/h	1800.00 m3/h	2200.00 m3/h	1700.00 m3/h	1900.00 m3/h	1800.00 m3/h	1600.00 m3/h	6700.00 m3/h	2400.00 m3/h	3900.00 m3/h	2000.00 m3/h	6400.00 m3/h											Maximum vandføring																	Maximum vandføring										Maximum vandføring			m3/h
Minimum vandføring	m3/h	3100.00 m3/h	3000.00 m3/h	4100.00 m3/h	2100.00 m3/h	3000.00 m3/h	1600.00 m3/h	1400.00 m3/h	1500.00 m3/h	2300.00 m3/h	1600.00 m3/h	1700.00 m3/h	1000.00 m3/h	1000.00 m3/h	1100.00 m3/h	800.00 m3/h	900.00 m3/h	800.00 m3/h	800.00 m3/h	900.00 m3/h	1200.00 m3/h	1000.00 m3/h	1100.00 m3/h	1100.00 m3/h											Minimum vandføring																	Minimum vandføring										Minimum vandføring			m3/h
Nedbør	mm	4.00 mm	0.00 mm	9.00 mm	0.00 mm	2.00 mm	0.00 mm	1.00 mm	1.00 mm	3.00 mm	0.00 mm	4.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	0.00 mm	4.00 mm	0.00 mm	0.00 mm	0.00 mm	3.00 mm											Nedbør																	Nedbør										Nedbør			mm
Nitrat-N	mg/l	1.27 mg/l	1.86 mg/l	1.58 mg/l	0.50 mg/l	1.30 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l	0.04 mg/l		128651	154752	200344	33926.4	132600	2252.25		652526	1.21	Nitrat-N	1925	1932.7	1859.55	1859.55	2240.7	1540	9433	0.03	1424.5	1536.15	1251.25	1297.45	1282.05	1135.75	7927	0.04	Nitrat-N	2171.4	1701.7	1763.3	1578.5	2190.65	9406	0.04			Nitrat-N	679291	0.51	mg/l
