Date	Flow_influent_[m3/d]	Flow_influent_to_bio[m3/d]	pH_influent	Conductivity_influent_[mS/cm]	Temperature_[C]	SS_influent_[mg/l]	VSS_influent_[mg/l]	COD_influent_[mg/l]	COD_influent_filtered_[mg/l]	BOD5_influent_[mg/l]	N_tot_influent_[mg/l]	NH4_N_influent_[mg/l]	P_tot_influent_[mg/l]	PO4_P_influent_[mg/l]	VSS_tank_[mg/l]	COD_tank_[mg/l]	SV_[ml/l]	SVI_[ml/g]	DSV_[ml/l]	DSVI_[ml/g]	Filament_Index	SS_RAS_Line_A_[g/l]	SS_RAS_Line_B_[g/l]	SS_RAS_Line_C_[g/l]	SS_RAS_Line_D_[g/l]	SS_RAS_Line_E_[g/l]	SS_tank_Line_A_[g/l]	SS_tank_Line_B_[g/l]	SS_tank_Line_C_[g/l]	DO_Line_A_setpoint_[mg/l]	DO_Line_A_value_[mg/l]	DO_Line_B_setpoint_[mg/l]	DO_Line_B_value_[mg/l]	DO_Line_C_setpoint_[mg/l]	DO_Line_C_value_[mg/l]	Fe_to_bio_[l/d]	Fe_effluent_tank_A_[l/d]	Fe_effluent_tank_B_[l/d]	Fe_effluent_tank_C_[l/d]	Flow_out_[m3/d]	SS_out_[mg/l]	COD_out_[mg/l]	COD_filtered_out_[mg/l]	BOD5_out_[mg/l]	N_tot_out_[mg/l]	NH4_N_out_[mg/l]	NO3_N_out_[mg/l]	P_tot_out_[mg/l]	PO4_P_out_[mg/l]
01-01-2017	188745,21	337403,4	      NA	       NA	       NA	357	298	792	244	400	57,3	33,2	8,67	5,23	  NA	    NA	 NA	      NA	 NA	      NA	  NA	10,980139	11,784722	11,9136111	11,893889	11,906528	5,887391	5,808362	5,26E+00	2,165981	0,5233088	2,109144	0,6283619	2,026476	0,3948742	2,35E+03	9,10E+02	8,20E+02	7,49E+02	    NA	129	119	26,2	40,9	15,8	6,88	1,36	4,76	1,29
02-01-2017	133100,79	273866,8	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	10,992917	11,945972	12,0331944	12,041111	12,069444	6,190176	6,123053	5,46E+00	1,871206	0,5678726	1,786327	0,7070707	2,049807	0,4934966	2,35E+03	6,08E+02	6,03E+02	6,09E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
03-01-2017	218964,05	375745,3	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	10,908333	11,900417	12,1065278	12,156528	12,14125	5,678631	5,583546	5,15E+00	2,159615	0,5660418	2,166588	0,7174584	2,306955	0,517441	2,33E+03	8,21E+02	8,48E+02	9,72E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
04-01-2017	146297,44	298089,1	      NA	       NA	       NA	281	230	638,5	181	300	59	41,8	6,8	4,25	  NA	    NA	 NA	      NA	 NA	      NA	  NA	10,902639	11,905417	12,0520833	11,988056	11,804444	6,04615	6,032808	5,41E+00	1,992575	0,5234241	1,917577	0,8142857	2,082759	0,5746479	2,33E+03	6,11E+02	6,04E+02	6,01E+02	146297	8,9	33,75	27,6	2,7	4,6	1,06	2,39	0,24	0,05
05-01-2017	123296,01	257807,2	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	10,984583	11,961528	12,0127778	12,0075	11,997083	5,984549	6,034809	5,34E+00	2,051494	0,4823009	1,754183	0,909407	1,967206	0,5643572	2,32E+03	6,06E+02	7,35E+02	6,00E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
06-01-2017	130261,26	259353,9	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	11,149583	12,002778	12,0620833	12,037083	11,961528	5,981905	5,970801	5,33E+00	2,236445	0,5824405	2,143106	0,9430362	2,152557	0,5741408	2,30E+03	6,10E+02	7,18E+02	6,00E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
07-01-2017	152234,05	290299,1	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	11,237083	12,104028	12,14375	12,069444	12,093611	5,963911	5,882368	5,35E+00	2,314198	0,6287407	2,354915	0,8292273	2,248092	0,5642195	2,30E+03	6,24E+02	6,06E+02	6,02E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
08-01-2017	126186,94	261601	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	11,025139	11,94875	11,9915278	12,006806	11,936667	6,136496	6,076103	5,44E+00	2,13455	0,6005922	2,167362	0,8173238	2,053078	0,5339314	2,29E+03	6,13E+02	6,06E+02	6,16E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
09-01-2017	139687,41	276341,4	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	  NA	    NA	 NA	      NA	 NA	      NA	  NA	11,147083	12,061806	12,0772222	12,040694	11,985417	6,035389	5,978841	5,37E+00	2,060485	0,5790087	2,092461	0,7255991	1,968935	0,5092564	2,28E+03	6,09E+02	6,03E+02	6,50E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
10-01-2017	129886,23	263785,7	      NA	       NA	       NA	 NA	 NA	    NA	   NA	   NA	    NA	    NA	    NA	   NA	4724	6126	980	162,5747	250	124,4194	  NA	10,974444	12,008333	11,9966667	12,000556	11,986944	6,074803	6,00575	5,40E+00	1,998419	0,537013	2,078125	0,6973244	1,88695	0,4645866	2,27E+03	6,10E+02	6,04E+02	6,00E+02	    NA	    NA	    NA	   NA	   NA	    NA	    NA	   NA	   NA	   NA
