Date	Inflow_m3d	COD_gm3	SS_kgm3
09/01/2015	72690	340	3.90
03/02/2015	63880	450	5.10
05/02/2015	55170	440	5.10
13/02/2015	54640	370	5.10
13/03/2015	50090	420	4.80
15/03/2015	46160	500	4.80
10/04/2015	45960	630	5.00
06/05/2015	145140	450	4.05
11/05/2015	46970	480	4.74
12/05/2015	46520	680	4.74
27/05/2015	45490	570	4.39
14/06/2015	84800	710	5.20
02/07/2015	40950	940	3.80
10/08/2015	36480	600	3.87
20/08/2015	40960	510	3.90
04/09/2015	51590	520	4.20
13/09/2015	40680	610	3.80
08/10/2015	69060	430	5.50
24/10/2015	40220	690	4.70
27/10/2015	38950	1200	5.20
09/11/2015	87290	490	5.20
19/11/2015	140420	310	3.70
25/11/2015	77530	400	5.10
08/12/2015	71860	330	5.50
15/01/2016	58310	370	3.90
26/01/2016	96450	380	4.50
04/02/2016	65800	400	4.60
19/02/2016	50760	480	5.10
06/03/2016	153780	200	4.30
16/03/2016	52050	500	4.30
15/04/2016	49350	520	3.95
04/05/2016	74270	550	4.64
18/05/2016	43720	770	5.82
31/05/2016	80110	400	5.82
13/06/2016	35510	700	4.52
19/06/2016	41770	600	4.52
12/07/2016	78350	330	4.11
29/07/2016	37800	460	3.80
29/08/2016	120610	360	4.10
01/09/2016	37860	590	3.28
09/09/2016	36980	860	4.64
18/09/2016	30970	400	3.82
05/10/2016	33570	870	3.36
13/10/2016	34290	820	3.78
29/10/2016	33570	430	4.05
14/11/2016	36490	610	3.64
24/11/2016	45920	660	4.30
07/12/2016	39080	750	4.99
31/01/2017	38500	790	6.00
09/02/2017	36950	630	5.54
10/02/2017	38150	590	5.54
17/02/2017	60190	590	5.90
05/03/2017	74940	280	4.97
15/03/2017	44990	690	4.88
07/04/2017	42240	840	4.82
24/04/2017	47070	420	4.37
03/05/2017	41010	1300	4.37
17/05/2017	112080	330	4.44
30/05/2017	33080	370	4.50
18/06/2017	34200	610	3.90
11/07/2017	32530	760	3.83
28/07/2017	58390	490	3.00
14/08/2017	51930	590	3.60
24/08/2017	44270	540	3.40
08/09/2017	105930	270	3.00
17/09/2017	40290	560	3.00
04/10/2017	67880	380	3.40
12/10/2017	87060	520	4.20
04/11/2017	56430	610	3.00
13/11/2017	46750	730	3.90
23/11/2017	116080	260	4.10
05/12/2017	48900	740	3.50
13/01/2018	54060	890	4.80
23/01/2018	49610	280	4.30
08/02/2018	47070	520	3.90
16/02/2018	51800	560	3.40
04/03/2018	45160	740	3.90
14/03/2018	65360	370	3.90
06/04/2018	111870	350	3.30
23/04/2018	40930	600	3.30
02/05/2018	66970	460	3.40
16/05/2018	40230	750	3.40
29/05/2018	46620	620	2.50
17/06/2018	69460	240	2.90
03/07/2018	31310	1300	3.10
14/07/2018	28210	1000	3.80
20/08/2018	166040	250	3.90
23/08/2018	32530	910	3.50
07/09/2018	32520	860	4.30
16/09/2018	51630	390	4.50
