Date	Temperature_C	inflow_m3d	SS_kgm3
11/01/2017	10.97	118751	3.92
12/01/2017	10.31	60569	3.52
13/01/2017	10.91	55810	3.91
14/01/2017	11.19	59232	4.25
15/01/2017	11.37	54548	4.34
16/01/2017	11.41	52676	4.39
17/01/2017	11.58	51654	4.87
18/01/2017	11.76	52664	5.02
19/01/2017	12.1	52455	4.5
20/01/2017	12.26	53580	4.36
21/01/2017	12.47	52006	4.39
22/01/2017	12.6	53628	4.4
23/01/2017	12.47	50602	4.31
24/01/2017	12.37	50080	4.53
25/01/2017	12.33	50937	4.13
26/01/2017	12.27	49776	4.42
27/01/2017	12.1	50834	4.56
28/01/2017	11.92	50658	4.55
29/01/2017	11.92	53055	4.99
30/01/2017	12.1	51787	5.01
31/01/2017	12.08	49546	5.09
01/02/2017	11.85	48621	3.52
02/02/2017	11.59	49852	3.94
03/02/2017	11.61	51951	3.82
04/02/2017	11.65	62354	3.84
05/02/2017	11.6	56958	4.01
06/02/2017	11.51	50207	3.95
07/02/2017	11.11	48962	4.35
08/02/2017	10.97	50899	4.2
09/02/2017	11.09	52946	4.1
10/02/2017	11.04	48297	4.08
11/02/2017	10.76	51656	4.09
12/02/2017	10.78	47987	3.89
13/02/2017	10.93	44782	3.93
14/02/2017	11.15	48107	3.62
15/02/2017	11.34	46569	3.72
16/02/2017	11.53	50613	3.6
17/02/2017	11.81	47054	3.44
18/02/2017	11.81	47230	3.12
19/02/2017	11.8	60900	3.38
20/02/2017	11.58	107036	3
21/02/2017	11.03	86465	3.05
22/02/2017	10.06	130795	2.87
23/02/2017	9.73	168433	2.81
24/02/2017	8.2	158128	3.1
25/02/2017	8.66	203496	2.51
26/02/2017	8.43	137967	2.78
27/02/2017	9.65	104761	3.07
28/02/2017	10.16	91590	3.08
01/03/2017	10.44	85499	3.13
02/03/2017	10.33	105755	3.01
03/03/2017	10.53	72729	3.07
04/03/2017	10.74	81639	3.2
05/03/2017	10.4	137846	3.56
06/03/2017	9.86	73695	3.14
07/03/2017	10.15	68436	3.34
08/03/2017	10.58	78926	3.58
09/03/2017	10.96	71475	4.52
10/03/2017	11.26	63283	3.37
11/03/2017	11.46	61267	3.65
12/03/2017	11.46	61202	3.06
13/03/2017	11.61	61381	2.98
14/03/2017	11.8	57766	3.04
15/03/2017	11.78	56862	3.11
16/03/2017	11.96	59035	3.07
17/03/2017	11.93	102421	3.94
18/03/2017	10.28	149044	3.57
19/03/2017	10.16	130587	4.32
20/03/2017	9.85	199234	3.03
21/03/2017	9.73	132771	3.3
22/03/2017	10.42	87881	3.12
23/03/2017	11.04	77373	2.96
24/03/2017	11.32	69557	3.09
25/03/2017	11.5	71366	3.13
26/03/2017	11.91	67196	2.94
27/03/2017	12.24	66822	3.04
28/03/2017	12.38	67936	3.1
29/03/2017	12.22	81036	4.18
30/03/2017	12.01	114421	3.93
31/03/2017	12.21	65677	3.25
01/04/2017	12.73	62848	3.98
02/04/2017	13.02	61026	4.35
03/04/2017	13.33	61514	4.4
04/04/2017	13.53	55796	5.01
05/04/2017	13.43	66117	5.22
06/04/2017	13.5	55532	5.48
07/04/2017	13.52	54033	5.32
08/04/2017	13.47	53111	5.69
09/04/2017	13.65	52172	6.37
10/04/2017	13.47	50484	5.67
11/04/2017	13.23	92323	5.05
12/04/2017	12.5	75129	4.05
13/04/2017	12.26	92379	4.11
14/04/2017	12.23	59537	3.87
15/04/2017	11.39	256985	3.79
16/04/2017	10.73	86760	3.55
17/04/2017	11.02	69283	4.23
18/04/2017	11.63	66224	8.62
19/04/2017	12.17	65022	7.9
20/04/2017	12.39	57780	4.59
21/04/2017	12.53	80448	4.14
22/04/2017	12.48	59788	5.29
23/04/2017	12.65	58619	4.23
24/04/2017	12.42	89200	4.99
25/04/2017	12.22	68077	4.59
26/04/2017	12.2	103621	4.19
27/04/2017	11.95	63451	4.36
28/04/2017	12.17	139477	3.87
29/04/2017	10.81	261563	2.77
30/04/2017	10.62	106518	4.08
01/05/2017	11.46	88752	4.13
02/05/2017	12.19	80913	4.25
03/05/2017	12.77	74816	4.18
04/05/2017	12.98	72822	4.17
05/05/2017	13.05	63439	3.8
06/05/2017	13.66	58560	3.81
07/05/2017	13.73	76768	3.65
08/05/2017	13.6	64303	3.7
09/05/2017	13.62	102318	3.24
10/05/2017	12.88	74104	3.74
11/05/2017	12.91	81029	5.68
12/05/2017	13.33	57710	5.86
13/05/2017	13.91	52462	4.35
14/05/2017	14.53	49629	4.32
15/05/2017	14.81	52109	3.98
16/05/2017	14.79	63027	4.07
17/05/2017	14.97	51438	4.16
18/05/2017	15.54	54119	4.07
19/05/2017	16.05	51324	4.04
20/05/2017	15.93	47949	4.11
21/05/2017	15.97	47715	4.01
22/05/2017	16.07	48493	3.93
23/05/2017	16.24	72840	3.91
24/05/2017	15.72	54973	3.89
25/05/2017	15.82	48362	4.22
26/05/2017	16.23	47313	4.29
27/05/2017	16.66	46566	4.4
28/05/2017	16.87	48268	4.27
29/05/2017	16.67	52789	4.35
30/05/2017	16.72	64839	3.77
31/05/2017	16.49	45579	4.16
01/06/2017	16.63	45664	4.2
02/06/2017	16.86	47830	4.3
03/06/2017	17.04	45988	4.32
04/06/2017	16.78	123073	3.74
05/06/2017	16.82	47938	4.14
06/06/2017	17.02	147068	3.72
07/06/2017	15.87	197674	2.75
08/06/2017	15.63	103813	3.11
09/06/2017	16.17	84601	3.13
10/06/2017	16.56	51809	3.59
11/06/2017	17.13	80319	3.36
12/06/2017	16.78	72171	3.18
13/06/2017	16.6	52825	3.33
14/06/2017	16.93	51065	3.23
15/06/2017	17.46	77839	2.88
16/06/2017	16.96	73877	2.91
17/06/2017	17.36	48800	3.2
18/06/2017	18.04	47461	3.14
19/06/2017	18.64	49734	3.11
20/06/2017	18.58	47534	3.08
21/06/2017	18.35	48146	2.98
22/06/2017	18.24	120359	2.5
23/06/2017	17.19	130311	3.14
24/06/2017	17.17	124791	3.38
25/06/2017	17.32	54146	3.84
26/06/2017	17.36	53907	4.2
27/06/2017	17.61	49737	4.23
28/06/2017	17.78	51734	3.89
29/06/2017	17.54	103295	3.54
30/06/2017	16.6	218647	2.39
01/07/2017	16.51	99960	3.96
02/07/2017	16.8	55819	4.42
03/07/2017	16.94	101014	3.26
04/07/2017	16.88	61800	4.33
05/07/2017	17.24	52401	4.4
06/07/2017	17.72	50165	4.22
07/07/2017	18	49303	3.47
08/07/2017	18.11	69844	4.05
09/07/2017	18.36	45746	3.94
10/07/2017	18.38	50500	3.64
11/07/2017	18.53	47694	3.5
12/07/2017	18.22	47035	3.18
13/07/2017	18.12	44016	4
14/07/2017	18.1	66731	3.33
15/07/2017	18	54377	3.57
16/07/2017	17.73	77105	3.41
17/07/2017	17.71	44279	3.81
18/07/2017	17.77	44388	3.77
19/07/2017	18.22	44173	3.77
20/07/2017	18.38	133500	2.84
21/07/2017	17.46	202911	2.83
22/07/2017	17.69	79457	3.46
23/07/2017	17.57	339396	2.23
24/07/2017	17.34	122494	2.7
25/07/2017	17.34	82766	2.8
26/07/2017	17.54	61220	3.17
27/07/2017	17.64	78940	3.2
28/07/2017	17.9	52710	3.26
29/07/2017	17.78	58706	3
30/07/2017	17.47	197092	2.29
31/07/2017	17.94	68553	3.74
01/08/2017	18.32	80452	3.39
02/08/2017	18.5	55550	3.52
03/08/2017	18.09	364094	2.12
04/08/2017	17.29	198208	2.59
