Date	Temperature_C	inflow_m3d	SS_kgm3
11/01/2017	10.97	118751	3.95
12/01/2017	10.31	60569	3.92
13/01/2017	10.91	55810	3.89
14/01/2017	11.19	59232	3.75
15/01/2017	11.37	54548	3.76
16/01/2017	11.41	52676	3.62
17/01/2017	11.58	51654	3.31
18/01/2017	11.76	52664	3.2
19/01/2017	12.1	52455	3.17
20/01/2017	12.26	53580	3.19
21/01/2017	12.47	52006	3.24
22/01/2017	12.6	53628	3.23
23/01/2017	12.47	50602	3.23
24/01/2017	12.37	50080	3.24
25/01/2017	12.33	50937	3.19
26/01/2017	12.27	49776	3.22
27/01/2017	12.1	50834	3.15
28/01/2017	11.92	50658	3.11
29/01/2017	11.92	53055	3.19
30/01/2017	12.1	51787	3.15
31/01/2017	12.08	49546	3.13
01/02/2017	11.85	48621	3.27
02/02/2017	11.59	49852	3.31
03/02/2017	11.61	51951	3.26
04/02/2017	11.65	62354	3.21
05/02/2017	11.6	56958	3.22
06/02/2017	11.51	50207	3.6
07/02/2017	11.11	48962	3.46
08/02/2017	10.97	50899	3.45
09/02/2017	11.09	52946	3.56
10/02/2017	11.04	48297	3.48
11/02/2017	10.76	51656	3.38
12/02/2017	10.78	47987	3.42
13/02/2017	10.93	44782	3.39
14/02/2017	11.15	48107	3.35
15/02/2017	11.34	46569	3.45
16/02/2017	11.53	50613	3.21
17/02/2017	11.81	47054	3.17
18/02/2017	11.81	47230	3.23
19/02/2017	11.8	60900	2.92
20/02/2017	11.58	107036	2.62
21/02/2017	11.03	86465	2.88
22/02/2017	10.06	130795	2.59
23/02/2017	9.73	168433	2.91
24/02/2017	8.2	158128	2.51
25/02/2017	8.66	203496	2.45
26/02/2017	8.43	137967	2.44
27/02/2017	9.65	104761	3.05
28/02/2017	10.16	91590	3.1
01/03/2017	10.44	85499	3.12
02/03/2017	10.33	105755	3.08
03/03/2017	10.53	72729	3.28
04/03/2017	10.74	81639	3.09
05/03/2017	10.4	137846	3.02
06/03/2017	9.86	73695	3.18
07/03/2017	10.15	68436	3.66
08/03/2017	10.58	78926	3.27
09/03/2017	10.96	71475	3.56
10/03/2017	11.26	63283	3.5
11/03/2017	11.46	61267	3.65
12/03/2017	11.46	61202	3.51
13/03/2017	11.61	61381	3.59
14/03/2017	11.8	57766	3.6
15/03/2017	11.78	56862	3.69
16/03/2017	11.96	59035	3.47
17/03/2017	11.93	102421	3.13
18/03/2017	10.28	149044	3.12
19/03/2017	10.16	130587	3.68
20/03/2017	9.85	199234	2.77
21/03/2017	9.73	132771	2.57
22/03/2017	10.42	87881	3.04
23/03/2017	11.04	77373	3.36
24/03/2017	11.32	69557	3.54
25/03/2017	11.5	71366	3.54
26/03/2017	11.91	67196	3.51
27/03/2017	12.24	66822	3.58
28/03/2017	12.38	67936	3.76
29/03/2017	12.22	81036	3.92
30/03/2017	12.01	114421	3.24
31/03/2017	12.21	65677	3.89
01/04/2017	12.73	62848	4.34
02/04/2017	13.02	61026	4.73
03/04/2017	13.33	61514	4.9
04/04/2017	13.53	55796	5.04
05/04/2017	13.43	66117	5.12
06/04/2017	13.5	55532	5.17
07/04/2017	13.52	54033	4.7
08/04/2017	13.47	53111	4.35
09/04/2017	13.65	52172	4.4
10/04/2017	13.47	50484	4.25
11/04/2017	13.23	92323	3.48
12/04/2017	12.5	75129	3.45
13/04/2017	12.26	92379	3.53
14/04/2017	12.23	59537	3.55
15/04/2017	11.39	256985	2.83
16/04/2017	10.73	86760	2.98
17/04/2017	11.02	69283	3.14
18/04/2017	11.63	66224	3.24
19/04/2017	12.17	65022	3.32
20/04/2017	12.39	57780	3.41
21/04/2017	12.53	80448	3.51
22/04/2017	12.48	59788	3.99
23/04/2017	12.65	58619	3.7
24/04/2017	12.42	89200	3.19
25/04/2017	12.22	68077	3.7
26/04/2017	12.2	103621	3.14
27/04/2017	11.95	63451	3.81
28/04/2017	12.17	139477	3.23
29/04/2017	10.81	261563	2.73
30/04/2017	10.62	106518	3.11
01/05/2017	11.46	88752	3.28
02/05/2017	12.19	80913	3.38
03/05/2017	12.77	74816	3.49
04/05/2017	12.98	72822	3.54
05/05/2017	13.05	63439	3.54
06/05/2017	13.66	58560	3.46
07/05/2017	13.73	76768	3.11
08/05/2017	13.6	64303	3.43
09/05/2017	13.62	102318	3.06
10/05/2017	12.88	74104	3
11/05/2017	12.91	81029	3.21
12/05/2017	13.33	57710	3.52
13/05/2017	13.91	52462	3.78
14/05/2017	14.53	49629	3.81
15/05/2017	14.81	52109	3.7
16/05/2017	14.79	63027	3.44
17/05/2017	14.97	51438	3.76
18/05/2017	15.54	54119	3.65
19/05/2017	16.05	51324	3.7
20/05/2017	15.93	47949	3.79
21/05/2017	15.97	47715	3.72
22/05/2017	16.07	48493	3.68
23/05/2017	16.24	72840	3.36
24/05/2017	15.72	54973	3.6
25/05/2017	15.82	48362	3.87
26/05/2017	16.23	47313	3.93
27/05/2017	16.66	46566	4.03
28/05/2017	16.87	48268	3.78
29/05/2017	16.67	52789	3.76
30/05/2017	16.72	64839	3.4
31/05/2017	16.49	45579	3.65
01/06/2017	16.63	45664	3.83
02/06/2017	16.86	47830	3.83
03/06/2017	17.04	45988	3.81
04/06/2017	16.78	123073	3.15
05/06/2017	16.82	47938	3.75
06/06/2017	17.02	147068	3.28
07/06/2017	15.87	197674	2.78
08/06/2017	15.63	103813	2.81
09/06/2017	16.17	84601	3.15
10/06/2017	16.56	51809	3.35
11/06/2017	17.13	80319	3.2
12/06/2017	16.78	72171	2.71
13/06/2017	16.6	52825	3.1
14/06/2017	16.93	51065	2.99
15/06/2017	17.46	77839	2.6
16/06/2017	16.96	73877	2.79
17/06/2017	17.36	48800	3.02
18/06/2017	18.04	47461	2.98
19/06/2017	18.64	49734	2.96
20/06/2017	18.58	47534	2.93
21/06/2017	18.35	48146	2.8
22/06/2017	18.24	120359	2.82
23/06/2017	17.19	130311	2.92
24/06/2017	17.17	124791	3.29
25/06/2017	17.32	54146	3.79
26/06/2017	17.36	53907	3.81
27/06/2017	17.61	49737	3.87
28/06/2017	17.78	51734	3.81
29/06/2017	17.54	103295	2.84
30/06/2017	16.6	218647	2.36
01/07/2017	16.51	99960	3.5
02/07/2017	16.8	55819	4.08
03/07/2017	16.94	101014	2.86
04/07/2017	16.88	61800	4.07
05/07/2017	17.24	52401	3.96
06/07/2017	17.72	50165	3.8
07/07/2017	18	49303	3.86
08/07/2017	18.11	69844	3.92
09/07/2017	18.36	45746	3.92
10/07/2017	18.38	50500	4.01
11/07/2017	18.53	47694	3.88
12/07/2017	18.22	47035	3.62
13/07/2017	18.12	44016	3.88
14/07/2017	18.1	66731	3.52
15/07/2017	18	54377	3.39
16/07/2017	17.73	77105	3.28
17/07/2017	17.71	44279	3.44
18/07/2017	17.77	44388	3.27
19/07/2017	18.22	44173	3.12
20/07/2017	18.38	133500	2.7
21/07/2017	17.46	202911	2.61
22/07/2017	17.69	79457	3.08
23/07/2017	17.57	339396	2.22
24/07/2017	17.34	122494	2.73
25/07/2017	17.34	82766	2.8
26/07/2017	17.54	61220	3.38
27/07/2017	17.64	78940	3.15
28/07/2017	17.9	52710	3.34
29/07/2017	17.78	58706	3.01
30/07/2017	17.47	197092	2.34
31/07/2017	17.94	68553	3.42
01/08/2017	18.32	80452	3.1
02/08/2017	18.5	55550	3.44
03/08/2017	18.09	364094	2.07
04/08/2017	17.29	198208	2.35
05/08/2017	17.38	88660	3.33
06/08/2017	17.56	71684	3.39
07/08/2017	17.84	63733	3.45
08/08/2017	18.23	73414	3.17
09/08/2017	18.44	77033	3.17
10/08/2017	18.54	56252	3.35
11/08/2017	18.54	54681	3.33
12/08/2017	18.4	96051	3.6
13/08/2017	18.04	55051	3.35
14/08/2017	18.18	52381	3.37
15/08/2017	18.5	62417	3.41
16/08/2017	18.72	55272	3.25
17/08/2017	18.73	159427	2.83
18/08/2017	18.42	122799	3.41
19/08/2017	18.31	55006	3.5
20/08/2017	18.15	147432	3.12
21/08/2017	17.5	133823	2.96
22/08/2017	17.69	55340	3.15
23/08/2017	18.1	53114	3.31
24/08/2017	18.29	50843	3.25
25/08/2017	18.47	49295	3.15
26/08/2017	18.73	47522	3.18
27/08/2017	18.84	55010	3.19
28/08/2017	18.98	49772	3.31
29/08/2017	19.18	48259	3.01
30/08/2017	19.03	153169	3.46
31/08/2017	17.95	110052	2.82
01/09/2017	17.92	60390	3.36
02/09/2017	18.08	47278	3.56
03/09/2017	18.35	48206	3.58
04/09/2017	18.32	47369	3.45
05/09/2017	18.47	47686	3.3
06/09/2017	18.14	227364	2.84
07/09/2017	16.65	228522	1.85
08/09/2017	16.51	163471	2.32
09/09/2017	16.59	217330	2.37
10/09/2017	16.45	123274	2.33
11/09/2017	16.73	125284	2.34
12/09/2017	16.86	91484	2.81
13/09/2017	16.33	278366	2.16
14/09/2017	15.22	328156	1.72
15/09/2017	15.46	185359	2.08
16/09/2017	15.98	110490	2.79
17/09/2017	15.91	160877	2.65
18/09/2017	15.15	112391	3.07
19/09/2017	15.77	107146	2.65
20/09/2017	16.55	78111	3.26
21/09/2017	16.91	71916	3.41
22/09/2017	17.02	66308	3.35
23/09/2017	17.25	62600	3.4
24/09/2017	17.52	63234	3.37
25/09/2017	17.62	60608	3.39
26/09/2017	17.7	58141	3.23
27/09/2017	17.72	56557	3.1
28/09/2017	17.49	145754	2.79
29/09/2017	16.08	129844	2.68
30/09/2017	15.98	60737	3.2
01/10/2017	16.35	60185	3.18
02/10/2017	15.69	239457	1.79
03/10/2017	15.26	107064	2.81
04/10/2017	15.38	127066	0.29
12/10/2017	15.86	86409	2.59
13/10/2017	15.94	66488	3.01
14/10/2017	16.41	63700	2.83
15/10/2017	16.67	63653	2.73
16/10/2017	16.74	61585	2.8
17/10/2017	16.6	60490	2.82
18/10/2017	16.51	102422	2.5
19/10/2017	16.04	72923	3.01
