Date	Temperature_C	inflow_m3d	SS_kgm3
11/01/2017	10.97	118751	4.08
12/01/2017	10.31	60569	4.53
13/01/2017	10.91	55810	4.86
14/01/2017	11.19	59232	4.65
15/01/2017	11.37	54548	4.6
16/01/2017	11.41	52676	4.5
17/01/2017	11.58	51654	4.23
18/01/2017	11.76	52664	2.12
19/01/2017	12.1	52455	1.49
20/01/2017	12.26	53580	1.49
21/01/2017	12.47	52006	1.49
22/01/2017	12.6	53628	1.49
23/01/2017	12.47	50602	1.49
24/01/2017	12.37	50080	3.02
25/01/2017	12.33	50937	3.06
26/01/2017	12.27	49776	3.14
27/01/2017	12.1	50834	3.05
28/01/2017	11.92	50658	2.99
29/01/2017	11.92	53055	3.4
30/01/2017	12.1	51787	3.07
31/01/2017	12.08	49546	3.18
01/02/2017	11.85	48621	3.33
02/02/2017	11.59	49852	3.48
03/02/2017	11.61	51951	3.47
04/02/2017	11.65	62354	3.44
05/02/2017	11.6	56958	3.43
06/02/2017	11.51	50207	3.82
07/02/2017	11.11	48962	4.65
08/02/2017	10.97	50899	4.19
09/02/2017	11.09	52946	4.22
10/02/2017	11.04	48297	3.98
11/02/2017	10.76	51656	3.89
12/02/2017	10.78	47987	3.84
13/02/2017	10.93	44782	3.63
14/02/2017	11.15	48107	3.59
15/02/2017	11.34	46569	3.67
16/02/2017	11.53	50613	3.39
17/02/2017	11.81	47054	3.35
18/02/2017	11.81	47230	3.44
19/02/2017	11.8	60900	3.63
20/02/2017	11.58	107036	3.47
21/02/2017	11.03	86465	3.36
22/02/2017	10.06	130795	2.65
23/02/2017	9.73	168433	2.82
24/02/2017	8.2	158128	2.03
25/02/2017	8.66	203496	2.18
26/02/2017	8.43	137967	2.15
27/02/2017	9.65	104761	2.77
28/02/2017	10.16	91590	2.79
01/03/2017	10.44	85499	3.22
02/03/2017	10.33	105755	3.15
03/03/2017	10.53	72729	2.49
04/03/2017	10.74	81639	2.56
05/03/2017	10.4	137846	2.83
06/03/2017	9.86	73695	2.52
07/03/2017	10.15	68436	2.9
08/03/2017	10.58	78926	3.2
09/03/2017	10.96	71475	2.81
10/03/2017	11.26	63283	2.83
11/03/2017	11.46	61267	2.94
12/03/2017	11.46	61202	2.79
13/03/2017	11.61	61381	2.81
14/03/2017	11.8	57766	2.88
15/03/2017	11.78	56862	2.88
16/03/2017	11.96	59035	2.81
17/03/2017	11.93	102421	3.46
18/03/2017	10.28	149044	2.39
19/03/2017	10.16	130587	3.46
20/03/2017	9.85	199234	2.49
21/03/2017	9.73	132771	2.06
22/03/2017	10.42	87881	2.4
23/03/2017	11.04	77373	2.64
24/03/2017	11.32	69557	2.79
25/03/2017	11.5	71366	2.79
26/03/2017	11.91	67196	2.91
27/03/2017	12.24	66822	3.11
28/03/2017	12.38	67936	3.18
29/03/2017	12.22	81036	4.53
