Date	Temperature_C	inflow_m3d	SS_kgm3
11/01/2017	10.97	118751	3
12/01/2017	10.31	60569	3.12
13/01/2017	10.91	55810	3.49
14/01/2017	11.19	59232	3.31
15/01/2017	11.37	54548	3.34
16/01/2017	11.41	52676	3.32
17/01/2017	11.58	51654	2.95
18/01/2017	11.76	52664	3.27
19/01/2017	12.1	52455	3.13
20/01/2017	12.26	53580	3.03
21/01/2017	12.47	52006	3.02
22/01/2017	12.6	53628	2.95
23/01/2017	12.47	50602	2.98
24/01/2017	12.37	50080	2.96
25/01/2017	12.33	50937	2.89
26/01/2017	12.27	49776	2.85
27/01/2017	12.1	50834	2.78
28/01/2017	11.92	50658	2.74
29/01/2017	11.92	53055	2.52
30/01/2017	12.1	51787	2.84
31/01/2017	12.08	49546	2.95
01/02/2017	11.85	48621	3.05
02/02/2017	11.59	49852	3.24
03/02/2017	11.61	51951	3.1
04/02/2017	11.65	62354	2.83
05/02/2017	11.6	56958	2.89
06/02/2017	11.51	50207	2.93
07/02/2017	11.11	48962	2.91
08/02/2017	10.97	50899	2.89
09/02/2017	11.09	52946	3.24
10/02/2017	11.04	48297	3.2
11/02/2017	10.76	51656	3.1
12/02/2017	10.78	47987	3.12
13/02/2017	10.93	44782	3.07
14/02/2017	11.15	48107	2.98
15/02/2017	11.34	46569	2.77
16/02/2017	11.53	50613	2.89
17/02/2017	11.81	47054	2.88
18/02/2017	11.81	47230	2.72
19/02/2017	11.8	60900	2.67
20/02/2017	11.58	107036	2.32
21/02/2017	11.03	86465	2.67
22/02/2017	10.06	130795	2.48
23/02/2017	9.73	168433	2.55
24/02/2017	8.2	158128	2.23
25/02/2017	8.66	203496	2.37
26/02/2017	8.43	137967	2.22
27/02/2017	9.65	104761	2.27
28/02/2017	10.16	91590	2.84
01/03/2017	10.44	85499	2.68
02/03/2017	10.33	105755	2.36
03/03/2017	10.53	72729	2.76
04/03/2017	10.74	81639	2.68
05/03/2017	10.4	137846	2.59
06/03/2017	9.86	73695	2.9
07/03/2017	10.15	68436	3.08
08/03/2017	10.58	78926	2.76
09/03/2017	10.96	71475	2.83
10/03/2017	11.26	63283	2.89
11/03/2017	11.46	61267	2.88
12/03/2017	11.46	61202	2.99
13/03/2017	11.61	61381	2.89
14/03/2017	11.8	57766	2.93
15/03/2017	11.78	56862	2.95
16/03/2017	11.96	59035	2.86
17/03/2017	11.93	102421	2.37
18/03/2017	10.28	149044	2.4
19/03/2017	10.16	130587	3.03
20/03/2017	9.85	199234	2.91
21/03/2017	9.73	132771	2.44
22/03/2017	10.42	87881	2.82
23/03/2017	11.04	77373	3.11
24/03/2017	11.32	69557	3.24
25/03/2017	11.5	71366	3.15
26/03/2017	11.91	67196	3.16
27/03/2017	12.24	66822	3.23
28/03/2017	12.38	67936	3.34
29/03/2017	12.22	81036	3.02
30/03/2017	12.01	114421	2.93
31/03/2017	12.21	65677	3.59
01/04/2017	12.73	62848	3.34
02/04/2017	13.02	61026	3.88
03/04/2017	13.33	61514	3.87
04/04/2017	13.53	55796	3.87
05/04/2017	13.43	66117	3.77
06/04/2017	13.5	55532	3.7
07/04/2017	13.52	54033	3.56
08/04/2017	13.47	53111	3.53
09/04/2017	13.65	52172	3.57
10/04/2017	13.47	50484	3.5
11/04/2017	13.23	92323	3.08
12/04/2017	12.5	75129	3.02
13/04/2017	12.26	92379	2.86
14/04/2017	12.23	59537	2.9
15/04/2017	11.39	256985	2.58
16/04/2017	10.73	86760	3.04
17/04/2017	11.02	69283	2.77
18/04/2017	11.63	66224	3.03
19/04/2017	12.17	65022	3.24
20/04/2017	12.39	57780	3.3
21/04/2017	12.53	80448	3.17
22/04/2017	12.48	59788	3.32
23/04/2017	12.65	58619	3.21
24/04/2017	12.42	89200	3.55
25/04/2017	12.22	68077	3.35
26/04/2017	12.2	103621	3.71
27/04/2017	11.95	63451	4.04
28/04/2017	12.17	139477	3.09
29/04/2017	10.81	261563	2.86
30/04/2017	10.62	106518	2.76
01/05/2017	11.46	88752	2.99
02/05/2017	12.19	80913	3.24
03/05/2017	12.77	74816	3.18
04/05/2017	12.98	72822	3.17
05/05/2017	13.05	63439	3.07
06/05/2017	13.66	58560	3.31
07/05/2017	13.73	76768	2.64
08/05/2017	13.6	64303	3.26
09/05/2017	13.62	102318	1.65
10/05/2017	12.88	74104	2.78
11/05/2017	12.91	81029	2.56
12/05/2017	13.33	57710	3.11
13/05/2017	13.91	52462	3.54
14/05/2017	14.53	49629	4
15/05/2017	14.81	52109	3.68
16/05/2017	14.79	63027	3.4
17/05/2017	14.97	51438	3.88
18/05/2017	15.54	54119	4.02
19/05/2017	16.05	51324	4.13
20/05/2017	15.93	47949	4.23
21/05/2017	15.97	47715	4.27
22/05/2017	16.07	48493	4.2
23/05/2017	16.24	72840	3.87
24/05/2017	15.72	54973	3.94
25/05/2017	15.82	48362	4.36
26/05/2017	16.23	47313	4.43
27/05/2017	16.66	46566	4.47
28/05/2017	16.87	48268	4.13
29/05/2017	16.67	52789	4.93
30/05/2017	16.72	64839	3.93
31/05/2017	16.49	45579	4.82
01/06/2017	16.63	45664	4.96
02/06/2017	16.86	47830	4.77
