Date	COD_gm3
01/01/2017	586
12/01/2017	763
16/01/2017	743
18/01/2017	689
24/01/2017	860
27/01/2017	886
02/02/2017	742
07/02/2017	715
13/02/2017	660
17/02/2017	729
28/02/2017	250
02/03/2017	415
05/03/2017	400
10/03/2017	320
16/03/2017	610
21/03/2017	240
27/03/2017	930
05/04/2017	550
07/04/2017	650
11/04/2017	640
18/04/2017	1400
20/04/2017	790
24/04/2017	510
04/05/2017	780
09/05/2017	490
13/05/2017	1100
18/05/2017	610
28/05/2017	720
31/05/2017	690
05/06/2017	1100
11/06/2017	560
15/06/2017	600
19/06/2017	660
25/06/2017	660
02/07/2017	640
05/07/2017	510
11/07/2017	570
18/07/2017	590
21/07/2017	140
27/07/2017	560
01/08/2017	430
09/08/2017	560
11/08/2017	920
14/08/2017	680
23/08/2017	510
28/08/2017	600
02/09/2017	620
06/09/2017	410
10/09/2017	210
13/09/2017	220
20/09/2017	350
25/09/2017	520
01/10/2017	557
05/10/2017	390
10/10/2017	463
18/10/2017	500
23/10/2017	565
27/10/2017	346
01/11/2017	452
04/11/2017	440
12/11/2017	620
18/11/2017	210
23/11/2017	253
27/11/2017	359
01/12/2017	477
04/12/2017	460
11/12/2017	450
14/12/2017	338
18/12/2017	553
20/12/2017	508
15/01/2018	498
18/01/2018	272
21/01/2018	596
24/01/2018	417
27/01/2018	559
02/02/2018	358
08/02/2018	850
13/02/2018	616
19/02/2018	681
21/02/2018	621
26/02/2018	646
01/03/2018	705
06/03/2018	590
12/03/2018	250
16/03/2018	343
20/03/2018	500
25/03/2018	464
04/04/2018	450
09/04/2018	605
19/04/2018	803
22/04/2018	726
24/04/2018	720
04/05/2018	580
12/05/2018	678
16/05/2018	705
05/06/2018	1000
11/06/2018	1040
16/06/2018	619
24/06/2018	762
02/07/2018	820
12/07/2018	842
16/07/2018	870
27/07/2018	809
07/08/2018	1000
15/08/2018	489
21/08/2018	803
26/08/2018	673
13/09/2018	728
19/09/2018	800
28/09/2018	733
04/10/2018	770
14/10/2018	936
02/11/2018	750
15/11/2018	973
18/11/2018	927
27/11/2018	584
01/12/2018	720
12/12/2018	699
16/12/2018	832
24/12/2018	635
27/12/2018	683
10/01/2019	670
26/01/2019	650
30/01/2019	340
05/02/2019	710
11/02/2019	390
18/02/2019	610
19/02/2019	644
20/02/2019	569
21/02/2019	496
22/02/2019	628
23/02/2019	589
24/02/2019	601
25/02/2019	634
28/02/2019	640
05/03/2019	171
06/03/2019	280
07/03/2019	251
08/03/2019	435
09/03/2019	294
10/03/2019	373
11/03/2019	444
12/03/2019	937
13/03/2019	281
14/03/2019	244
21/03/2019	370
26/03/2019	390
29/03/2019	830
03/04/2019	670
08/04/2019	660
16/04/2019	780
25/04/2019	740
03/05/2019	520
18/05/2019	180
26/05/2019	540
31/05/2019	550
14/06/2019	430
21/06/2019	730
27/06/2019	840
01/07/2019	720
09/07/2019	470
19/07/2019	800
26/07/2019	940
06/08/2019	600
12/08/2019	410
20/08/2019	530
28/08/2019	690
01/09/2019	570
04/09/2019	490
11/09/2019	380
18/09/2019	150
27/09/2019	750
03/10/2019	520
12/10/2019	180
17/10/2019	340
01/11/2019	630
10/11/2019	700
16/11/2019	330
23/11/2019	580
29/11/2019	340
01/12/2019	670
02/12/2019	610
14/12/2019	760
19/12/2019	740
23/12/2019	481
25/12/2019	571
06/01/2020	620
13/01/2020	330
28/01/2020	450
03/02/2020	510
10/02/2020	310
18/02/2020	320
25/02/2020	210
04/03/2020	420
08/03/2020	490
11/03/2020	460
19/03/2020	590
