Sample,SeqRun,LibID,Read no,ID,Period,Line,Mean,Plant,Date,Week,Year,Period2,Configuration,Design,Design2,ReturnSludgeSidestream,PrimarySetling,Digester,lat,long,Solids_AerationTank_PointMeasurement,SolidsFraction_AerationTank_PointMeasurement,SVI,DSVI,ExtractionConc,LibraryConc,week_mean_temperature
MQ181221-188,MQ181221,LIB-Aalborg-Vest-LT-7,,,Spring,Activated sludge,,Aalborg W,2015-04-13,16,2015,,,,,,,,,,,,,,,,
MQ181221-190,MQ181221,LIB-Aalborg-Vest-LT-19,,,Summer,Activated sludge,,Aalborg W,2015-06-17,25,2015,,,,,,,,,,,,,,,,
MQ181221-192,MQ181221,LIB-Aalborg-Vest-LT-31,,,Summer,Activated sludge,,Aalborg W,2015-08-05,32,2015,,,,,,,,,,,,,,,,16.3
MQ181221-194,MQ181221,LIB-Aalborg-Vest-LT-43,,,Fall,Activated sludge,,Aalborg W,2015-10-05,41,2015,,,,,,,,,,,,,,,,15.7
MQ181221-196,MQ181221,LIB-Aalborg-Vest-LT-55,,,Fall,Activated sludge,,Aalborg W,2015-12-01,49,2015,,,,,,,,,,,,,,,,10.575
MQ181221-198,MQ181221,LIB-Aalborg-Vest-LT-76,,,Winter,Activated sludge,,Aalborg W,2016-03-10,10,2016,,,,,,,,,,,,,,,,
MQ181221-200,MQ181221,LIB-Aalborg-Vest-LT-82,,,Spring,Activated sludge,,Aalborg W,2016-03-21,12,2016,,,,,,,,,,,,,,,,
MQ181221-202,MQ181221,LIB-Aalborg-Vest-LT-88,,,Spring,Activated sludge,,Aalborg W,2016-04-05,14,2016,,,,,,,,,,,,,,,,11.2
MQ181221-206,MQ181221,LIB-Aalborg-Vest-LT-100,,,Spring,Activated sludge,,Aalborg W,2016-05-02,18,2016,,,,,,,,,,,,,,,,12.3
MQ181221-208,MQ181221,LIB-Aalborg-Vest-LT-106,,,Spring,Activated sludge,,Aalborg W,2016-05-17,20,2016,,,,,,,,,,,,,,,,13.8
MQ181221-212,MQ181221,LIB-Aalborg-Vest-LT-118,,,Spring,Activated sludge,,Aalborg W,2016-06-13,24,2016,,,,,,,,,,,,,,,,
MQ181221-214,MQ181221,LIB-Aalborg-Vest-LT-124,,,Summer,Activated sludge,,Aalborg W,2016-06-27,26,2016,,,,,,,,,,,,,,,,16.6
MQ181221-216,MQ181221,LIB-Aalborg-Vest-LT-130,,,Summer,Activated sludge,,Aalborg W,2016-07-11,28,2016,,,,,,,,,,,,,,,,19.9
MQ181221-218,MQ181221,LIB-Aalborg-Vest-LT-136,,,Summer,Activated sludge,,Aalborg W,2016-08-01,31,2016,,,,,,,,,,,,,,,,17.5
MQ181221-220,MQ181221,LIB-Aalborg-Vest-LT-142,,,Summer,Activated sludge,,Aalborg W,2016-08-17,33,2016,,,,,,,,,,,,,,,,17.8
